market,event_phase,inclusion,relative_day,mean_ar,std_ar,mean_car,std_car,n_obs,se_ar,se_car,ci_low_95,ci_high_95
CN,announce,0,-20,0.0011400828044623125,0.0360255007782159,0.0011400828044623125,0.0360255007782159,121,0.003275045525292355,0.003275045525292355,-0.005279006425110704,0.007559172034035329
CN,announce,0,-19,0.0048159546284345205,0.028467809330120646,0.005956037432896832,0.05098262541107283,121,0.0025879826663746043,0.004634784128279348,-0.003128139458530691,0.015040214324324355
CN,announce,0,-18,-0.003936163331456856,0.030646150354044794,0.0020198741014399767,0.06963760887229975,121,0.002786013668549527,0.006330691715663614,-0.010388281661260705,0.01442802986414066
CN,announce,0,-17,0.007946629986069544,0.03575313689425735,0.009966504087509521,0.08048501750160689,121,0.0032502851722052135,0.0073168197728733534,-0.00437446266732225,0.02430747084234129
CN,announce,0,-16,0.008263660679108298,0.03047986364121715,0.018230164766617818,0.0916560555344839,121,0.002770896694656105,0.008332368684953082,0.0018987221441097782,0.03456160738912586
CN,announce,0,-15,0.0055993229273386645,0.02507857111335479,0.02382948769395648,0.10280376129933455,121,0.002279870101214072,0.009345796481757686,0.005511726589711417,0.042147248798201545
CN,announce,0,-14,0.010303551155835505,0.025976437507222106,0.034133038849791984,0.11022734313816512,121,0.0023614943188383732,0.010020667558015011,0.014492530436082562,0.053773547263501406
CN,announce,0,-13,0.00030152630875658224,0.01784836229047916,0.03443456515854857,0.10711984174065386,121,0.0016225783900435601,0.009738167430968532,0.015347756993850246,0.0535213733232469
CN,announce,0,-12,0.00012397686928672226,0.022202548200342828,0.034558542027835294,0.11173110085021792,121,0.002018413472758439,0.010157372804565266,0.014650091330887374,0.05446699272478321
CN,announce,0,-11,-0.0016765612907873935,0.02377997236798172,0.0328819807370479,0.10835895906647074,121,0.00216181566981652,0.00985081446058825,0.013574384394294932,0.05218957707980087
CN,announce,0,-10,0.0033088620602161347,0.024023475978761578,0.03619084279726403,0.1180307952236219,121,0.002183952361705598,0.010730072293056538,0.01515990110287322,0.05722178449165485
CN,announce,0,-9,0.00013006286166523552,0.020011451890538035,0.036320905658929266,0.11576380742844884,121,0.0018192228991398213,0.01052398249349535,0.01569389997167838,0.05694791134618015
CN,announce,0,-8,-0.006543988248794108,0.020514473457005338,0.02977691741013516,0.12004986458177161,121,0.0018649521324550307,0.010913624052888328,0.008386214266474037,0.051167620553796284
CN,announce,0,-7,0.005343913522693253,0.02092486911585485,0.03512083093282842,0.12477079233957185,121,0.0019022608287140772,0.011342799303597441,0.012888944297777434,0.0573527175678794
CN,announce,0,-6,-0.0069648871963889575,0.017318217646749866,0.028155943736439457,0.12355755335112954,121,0.001574383422431806,0.011232504850102685,0.0061402342302381945,0.050171653242640724
CN,announce,0,-5,-0.00048326295127914675,0.020570963685785853,0.02767268078516031,0.12423062744660121,121,0.0018700876077987138,0.011293693404236473,0.005537041712856822,0.0498083198574638
CN,announce,0,-4,0.0034284944144334305,0.021472639000412172,0.03110117519959374,0.12630043500353993,121,0.001952058090946561,0.01148185772759454,0.008596734053508442,0.053605616345679036
CN,announce,0,-3,-0.005184865716751689,0.019475298444784222,0.025916309482842053,0.1303088645744391,121,0.0017704816767985657,0.0118462604158581,0.0026976390677601776,0.049134979897923925
CN,announce,0,-2,0.0005252747446177885,0.017564340700055716,0.02644158422745984,0.1313389190840488,121,0.0015967582454596105,0.011939901734913527,0.003039376827029327,0.04984379162789035
CN,announce,0,-1,0.0005443575227406877,0.014028382573464062,0.026985941750200526,0.12837437724050496,121,0.0012753075066785512,0.011670397930954996,0.004111961805528735,0.049859921694872314
CN,announce,0,0,-0.004312268942424529,0.015449987951281389,0.01829134038680326,0.11844182990939214,121,0.001404544359207399,0.010767439082672014,-0.0028128402152338867,0.0393955209888404
