market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[-5,+5]",m5_p5,121,-0.010749396836610546,0.06345357270626423,0.005768506609660384,-0.0220556697915449,0.0005568761183238069,-1.8634626886981078,0.06484173831558271
CN,announce,0,"[-3,+3]",m3_p3,121,-0.011277962346780869,0.04280137501613261,0.003891034092375692,-0.018904389167837224,-0.0036515355257245126,-2.8984486074998763,0.0044598548176136635
CN,announce,0,"[-1,+1]",m1_p1,121,-0.005671668126258438,0.029939966773375376,0.002721815161215943,-0.011006425842241686,-0.00033691041027518985,-2.0837815172300966,0.03930240528582495
CN,announce,1,"[-5,+5]",m5_p5,118,0.03081155096424726,0.07025402476755126,0.006467407200620784,0.018135432851030524,0.04348766907746399,4.764127262821763,5.49334004530591e-06
CN,announce,1,"[-3,+3]",m3_p3,118,0.010259621026986004,0.054999969120132414,0.005063157555718548,0.00033583221777764953,0.020183409836194356,2.0263286129420064,0.04500526342622713
CN,announce,1,"[-1,+1]",m1_p1,118,0.01747010704044656,0.03851500191849776,0.0035455933174474265,0.010520744138249605,0.024419469942643518,4.92727323082383,2.771718748270423e-06
CN,effective,0,"[-5,+5]",m5_p5,121,0.007453361577120382,0.07308467478125592,0.006644061343750538,-0.005568998656630673,0.020475721810871438,1.1218080615903823,0.2641837871137202
CN,effective,0,"[-3,+3]",m3_p3,121,0.004450597186416682,0.06015092072758711,0.005468265520689738,-0.006267203234135204,0.01516839760696857,0.8138955889353574,0.4173168634122352
CN,effective,0,"[-1,+1]",m1_p1,121,0.0030767413735465453,0.04338815818639158,0.003944378016944689,-0.0046542395396650445,0.010807722286758135,0.7800320761167273,0.43690783651733045
CN,effective,1,"[-5,+5]",m5_p5,118,0.006939498521889978,0.0748396125676926,0.006889544774316218,-0.006564009235769809,0.020443006279549765,1.0072506601248872,0.31589292150744835
CN,effective,1,"[-3,+3]",m3_p3,118,-0.0096677518829594,0.05773505789475763,0.005314942886080408,-0.020085039939677002,0.0007495361737581991,-1.8189756861317925,0.07147263776367047
CN,effective,1,"[-1,+1]",m1_p1,118,0.004162042053539391,0.04869229521679754,0.004482489106379575,-0.004623636594964576,0.012947720702043359,0.9285113593730507,0.35505399144800487
