market,event_phase,inclusion,relative_day,mean_ar,std_ar,mean_car,std_car,n_obs,se_ar,se_car,ci_low_95,ci_high_95
CN,announce,0,-19,0.0048159546284345205,0.028467809330120646,0.005956037432896832,0.05098262541107283,121,0.0025879826663746043,0.004634784128279348,-0.003128139458530691,0.015040214324324355
CN,announce,0,-18,-0.003936163331456856,0.030646150354044794,0.0020198741014399767,0.06963760887229975,121,0.002786013668549527,0.006330691715663614,-0.010388281661260705,0.01442802986414066
CN,announce,0,-17,0.007946629986069544,0.03575313689425735,0.009966504087509521,0.08048501750160689,121,0.0032502851722052135,0.0073168197728733534,-0.00437446266732225,0.02430747084234129
CN,announce,0,-16,0.008263660679108298,0.03047986364121715,0.018230164766617818,0.0916560555344839,121,0.002770896694656105,0.008332368684953082,0.0018987221441097782,0.03456160738912586
CN,announce,0,-15,0.0055993229273386645,0.02507857111335479,0.02382948769395648,0.10280376129933455,121,0.002279870101214072,0.009345796481757686,0.005511726589711417,0.042147248798201545
CN,announce,0,-14,0.010303551155835505,0.025976437507222106,0.034133038849791984,0.11022734313816512,121,0.0023614943188383732,0.010020667558015011,0.014492530436082562,0.053773547263501406
CN,announce,0,-13,0.00030152630875658224,0.01784836229047916,0.03443456515854857,0.10711984174065386,121,0.0016225783900435601,0.009738167430968532,0.015347756993850246,0.0535213733232469
CN,announce,0,-12,0.00012397686928672226,0.022202548200342828,0.034558542027835294,0.11173110085021792,121,0.002018413472758439,0.010157372804565266,0.014650091330887374,0.05446699272478321
CN,announce,0,-11,-0.0016765612907873935,0.02377997236798172,0.0328819807370479,0.10835895906647074,121,0.00216181566981652,0.00985081446058825,0.013574384394294932,0.05218957707980087
CN,announce,0,-10,0.0033088620602161347,0.024023475978761578,0.03619084279726403,0.1180307952236219,121,0.002183952361705598,0.010730072293056538,0.01515990110287322,0.05722178449165485
CN,announce,0,-9,0.00013006286166523552,0.020011451890538035,0.036320905658929266,0.11576380742844884,121,0.0018192228991398213,0.01052398249349535,0.01569389997167838,0.05694791134618015
CN,announce,0,-8,-0.006543988248794108,0.020514473457005338,0.02977691741013516,0.12004986458177161,121,0.0018649521324550307,0.010913624052888328,0.008386214266474037,0.051167620553796284
CN,announce,0,-7,0.005343913522693253,0.02092486911585485,0.03512083093282842,0.12477079233957185,121,0.0019022608287140772,0.011342799303597441,0.012888944297777434,0.0573527175678794
CN,announce,0,-6,-0.0069648871963889575,0.017318217646749866,0.028155943736439457,0.12355755335112954,121,0.001574383422431806,0.011232504850102685,0.0061402342302381945,0.050171653242640724
CN,announce,0,-5,-0.00048326295127914675,0.020570963685785853,0.02767268078516031,0.12423062744660121,121,0.0018700876077987138,0.011293693404236473,0.005537041712856822,0.0498083198574638
CN,announce,0,-4,0.0034284944144334305,0.021472639000412172,0.03110117519959374,0.12630043500353993,121,0.001952058090946561,0.01148185772759454,0.008596734053508442,0.053605616345679036
CN,announce,0,-3,-0.005184865716751689,0.019475298444784222,0.025916309482842053,0.1303088645744391,121,0.0017704816767985657,0.0118462604158581,0.0026976390677601776,0.049134979897923925
CN,announce,0,-2,0.0005252747446177885,0.017564340700055716,0.02644158422745984,0.1313389190840488,121,0.0015967582454596105,0.011939901734913527,0.003039376827029327,0.04984379162789035
CN,announce,0,-1,0.0005443575227406877,0.014028382573464062,0.026985941750200526,0.12837437724050496,121,0.0012753075066785512,0.011670397930954996,0.004111961805528735,0.049859921694872314
CN,announce,0,0,-0.004312268942424529,0.015449987951281389,0.01829134038680326,0.11844182990939214,121,0.001404544359207399,0.010767439082672014,-0.0028128402152338867,0.0393955209888404
CN,announce,0,1,-0.0020092599507879343,0.021757336119455687,0.01628208043601533,0.12185235164057173,121,0.0019779396472232444,0.011077486512779249,-0.005429793129031999,0.03799395400106266
CN,announce,0,2,0.0027821342541547237,0.017227565918038222,0.01906421469017005,0.127392554080298,121,0.0015661423561852928,0.011581141280027091,-0.00363482221868305,0.04176325159902315
CN,announce,0,3,-0.004677191394446108,0.01381334356287461,0.014387023295723944,0.1247422671476078,121,0.0012557585057158737,0.011340206104327982,-0.0078397806687589,0.03661382726020679
CN,announce,0,4,-0.007703336435989914,0.019631709903533114,0.006683686859734029,0.12333698509110885,121,0.0017847009003211921,0.011212453190100806,-0.01529272139286355,0.028660095112331606
CN,announce,0,5,0.005783026550019737,0.01963109780985816,0.012466713409753766,0.12405107613556153,121,0.001784645255441651,0.01127737055777832,-0.009636932883491742,0.03457035970299928
CN,announce,0,6,0.0020527786993921834,0.02000171796155107,0.014519492109145948,0.12336485686661838,121,0.0018183379965046426,0.011214986987874398,-0.007461882387087872,0.03650086660537977
CN,announce,0,7,-0.0022116846582101203,0.019603343400883995,0.012307807450935829,0.12092465247801391,121,0.0017821221273530904,0.010993150225273992,-0.009238766990601196,0.033854381892472855
CN,announce,0,8,0.004319548122004666,0.028882714189198463,0.016627355572940497,0.125581724688351,121,0.002625701289927133,0.011416520426213727,-0.005749024462438409,0.039003735608319406
CN,announce,0,9,0.0036126895252385403,0.025109433045906796,0.020240045098179036,0.12810199488036572,121,0.002282675731446072,0.011645635898215066,-0.0025854012623224946,0.04306549145868056
CN,announce,0,10,-0.0018716892325845236,0.026179716850623126,0.018368355865594512,0.13117204192683465,121,0.002379974259147557,0.011924731084257695,-0.005004117059550572,0.04174082879073959
CN,announce,0,11,-0.0026595113982335297,0.02656727308248739,0.015708844467360983,0.1324082389091775,121,0.0024152066438624903,0.012037112628107045,-0.007883896283728823,0.039301585218450785
CN,announce,0,12,-0.006681556286709104,0.020085864014467013,0.009027288180651879,0.1331683904582785,121,0.0018259876376788193,0.012106217314388955,-0.014700897755550472,0.03275547411685423
CN,announce,0,13,0.0038186107854690037,0.024227458341041674,0.01284589896612088,0.13686363584949104,121,0.0022024962128219705,0.012442148713590095,-0.011540712512515705,0.03723251044475746
CN,announce,0,14,-0.003474354428042441,0.01949933898761142,0.009371544538078442,0.13785529304445612,121,0.0017726671806919474,0.01253229936767783,-0.015191762222570102,0.03393485129872699
CN,announce,0,15,0.003132387650538714,0.022875301636977048,0.012503932188617155,0.14633060758229305,121,0.0020795728760888226,0.013302782507481186,-0.013569521526045968,0.038577385903280276
CN,announce,0,16,-0.0010327799273357296,0.020429215802006278,0.011471152261281425,0.14363207900025116,121,0.0018572014365460252,0.01305746172729556,-0.014121472724217873,0.03706377724678073
CN,announce,0,17,0.0021645824084730427,0.02546788793481094,0.013635734669754469,0.14758172806272754,121,0.0023152625395282673,0.01341652073297523,-0.012660645966876981,0.03993211530638592
CN,announce,0,18,-0.0014303600331679062,0.023117718207109825,0.012205374636586563,0.1532527959095113,121,0.002101610746100893,0.013932072355410118,-0.015101487180017269,0.039512236453190394
CN,announce,0,19,-0.0005909160161495758,0.018015848971307244,0.011614458620436986,0.15687118575098633,121,0.0016378044519370222,0.014261016886453303,-0.01633713447701149,0.03956605171788546
CN,announce,0,20,0.00628882764236538,0.028917440800532428,0.017903286262802364,0.15512457533688856,121,0.0026288582545938573,0.014102234121535323,-0.00973709261540687,0.0455436651410116
CN,announce,1,-20,-0.004322004764989977,0.02963103756095698,-0.004322004764989977,0.02963103756095698,118,0.0027277581080608843,0.0027277581080608843,-0.00966841065678931,0.0010244011268093567
CN,announce,1,-19,0.012036212360186494,0.036060553823422575,0.007714207595196518,0.04294716266082114,118,0.0033196430557199163,0.003953606785630256,-3.486170463878457e-05,0.015463276895031821
CN,announce,1,-18,0.0006142050053537625,0.025733917165846897,0.00832841260055028,0.053151126667793536,118,0.002368999096197661,0.004892957812306942,-0.0012617847115713263,0.017918609912671885
CN,announce,1,-17,0.0030275483102761257,0.02975292150515156,0.011355960910826406,0.058554177942988214,118,0.0027389784345963706,0.005390348998621681,0.0007908768735279108,0.0219210449481249
CN,announce,1,-16,0.001990837843604801,0.03199600795701228,0.013346798754431207,0.07188038834437518,118,0.0029454712799298296,0.006617126103450628,0.00037723159166797547,0.02631636591719444
CN,announce,1,-15,-0.004700322336575062,0.02337187102918336,0.008646476417856144,0.07555690595324868,118,0.0021515551242259367,0.006955576982749146,-0.004986454468332182,0.02227940730404447
CN,announce,1,-14,0.003196441489328314,0.0345839191732873,0.01184291790718446,0.08764060310829294,118,0.0031837078178375455,0.008067971471879539,-0.003970306177699437,0.027656141992068353
CN,announce,1,-13,0.00850709955562239,0.02878590656970978,0.02035001746280685,0.08847577855626321,118,0.002649957494126742,0.008144855603768868,0.004386100479419869,0.03631393444619383
CN,announce,1,-12,0.0028734590253006917,0.025471516721429808,0.023223476488107537,0.09503086195344669,118,0.0023448431773121,0.00874829994313425,0.006076808599564405,0.040370144376650666
CN,announce,1,-11,-0.004994465429869911,0.02070304859044891,0.01822901105823763,0.09464696983438876,118,0.0019058701045482928,0.008712959809052657,0.001151609832494422,0.035306412283980834
