market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,t_stat,p_value
CN,announce,1,"[-1,+1]",m1_p1,3,0.011970531014665267,0.030448996582021368,0.6809277887081974,0.5661791328886949
CN,announce,1,"[-3,+3]",m3_p3,3,0.003706185152526964,0.026290157201493903,0.24417126673055203,0.8298621080636861
CN,announce,1,"[-5,+5]",m5_p5,3,0.05635704781183837,0.030660238999279436,3.183708717240806,0.08610664136490258
CN,effective,1,"[-1,+1]",m1_p1,3,0.04302106001599426,0.022338253260037282,3.335742543329354,0.07932398010236723
CN,effective,1,"[-3,+3]",m3_p3,3,0.0119653668501439,0.025289046264840215,0.8195098818124829,0.4986179679146071
CN,effective,1,"[-5,+5]",m5_p5,3,0.028461495708048967,0.0037736879159442536,13.063283907887572,0.005808957447627891
US,announce,1,"[-1,+1]",m1_p1,3,0.04166825354566806,0.01157323728096847,6.236071243647711,0.024763314644701773
US,announce,1,"[-3,+3]",m3_p3,3,0.04248216784817874,0.020063965593391884,3.667334495078518,0.06697017682046372
US,announce,1,"[-5,+5]",m5_p5,3,0.07265407302854886,0.05729883208911068,2.196214848961669,0.1592329335617167
US,effective,1,"[-1,+1]",m1_p1,3,0.0786929355695245,0.02928417114926074,4.654397145421728,0.043192110475449956
US,effective,1,"[-3,+3]",m3_p3,3,0.06390108579192723,0.019005726342951168,5.823504203588861,0.028243769275520605
US,effective,1,"[-5,+5]",m5_p5,3,0.08032590463331406,0.053484473587827416,2.6012885358283984,0.12144206874698266
