market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[-5,+5]",m5_p5,137,-0.021133335766423296,0.06778908672908125,0.005791612535661622,-0.032484896336320075,-0.009781775196526519,-3.6489553878640235,0.00037426592991698937
CN,announce,0,"[-3,+3]",m3_p3,137,-0.017624416058394078,0.0419498007566681,0.0035840133516151763,-0.024649082227559824,-0.010599749889228332,-4.917508482620868,2.4869520358748074e-06
CN,announce,0,"[-1,+1]",m1_p1,137,-0.010911233576642282,0.028441156933390475,0.0024298920220366302,-0.015673821939834076,-0.006148645213450487,-4.490419112326217,1.5028435857434286e-05
CN,announce,1,"[-5,+5]",m5_p5,137,0.03336681021897811,0.07105935416913314,0.006071010338680634,0.021467629955164068,0.04526599048279215,5.496088518641768,1.853355190383409e-07
CN,announce,1,"[-3,+3]",m3_p3,137,0.015326715328467182,0.05785422001982384,0.0049428195905166835,0.005638788931054482,0.02501464172587988,3.100804115503849,0.0023467115292975975
CN,announce,1,"[-1,+1]",m1_p1,137,0.020697963503649646,0.03738633496117984,0.0031941301568047856,0.014437468396312266,0.026958458610987026,6.480000027411103,1.5560078403999203e-09
CN,effective,0,"[-5,+5]",m5_p5,137,6.197080292044465e-06,0.07769619610671753,0.006638034011923731,-0.013004349583078468,0.013016743743662558,0.0009335716389691296,0.9992564857107085
CN,effective,0,"[-3,+3]",m3_p3,137,0.003141773722627784,0.0632207211015726,0.005401310719950417,-0.007444795288475033,0.013728342733730602,0.5816687625511433,0.5617527047163029
CN,effective,0,"[-1,+1]",m1_p1,137,-0.00152408759124087,0.04212304640040999,0.0035988147258548715,-0.008577764453916418,0.005529589271434678,-0.42349709761144605,0.6726016100101043
CN,effective,1,"[-5,+5]",m5_p5,137,0.0074122408759124715,0.07687868609120907,0.006568189417722751,-0.0054614103828241195,0.020285892134649063,1.1285059556766497,0.2610930878489407
CN,effective,1,"[-3,+3]",m3_p3,137,-0.007361109489051039,0.06184974484025051,0.005284180313209575,-0.017718102902941804,0.0029958839248397286,-1.3930466132371533,0.165878541566668
CN,effective,1,"[-1,+1]",m1_p1,137,0.004947445255474446,0.04614709817129534,0.00394261267040533,-0.002780075578520001,0.012674966089468893,1.2548646466369247,0.21168002954708495
US,announce,0,"[-5,+5]",m5_p5,116,-0.007339238996521431,0.101735468837364,0.009445901145177614,-0.025853205241069557,0.011174727248026694,-0.7769760538165604,0.43876819424486735
US,announce,0,"[-3,+3]",m3_p3,116,-0.0064320579801528735,0.09470155119904923,0.00879281828789942,-0.023665981824435738,0.01080186586412999,-0.7315126697209927,0.4659540661748936
US,announce,0,"[-1,+1]",m1_p1,116,0.000865772446123154,0.08696745294553355,0.00807472529255885,-0.014960689127292192,0.0166922340195385,0.10722004956886824,0.9148012391632623
US,announce,1,"[-5,+5]",m5_p5,257,0.013737036008250492,0.0858686636465263,0.005356340072705966,0.0032386094657467987,0.024235462550754185,2.5646310394385936,0.010899604598655821
US,announce,1,"[-3,+3]",m3_p3,256,0.01465209431208251,0.07412488681507845,0.004632805425942403,0.005571795677235401,0.02373239294692962,3.162682859512061,0.0017525267486111491
US,announce,1,"[-1,+1]",m1_p1,255,0.018730520622938025,0.05605811160612233,0.0035104951200116146,0.011849950187715261,0.025611091058160788,5.335578026063757,2.1091143068477675e-07
US,effective,0,"[-5,+5]",m5_p5,116,-0.005858490268934907,0.09156847899450739,0.008501919836621661,-0.02252225314871336,0.010805272610843547,-0.6890785118556055,0.4921618104953854
US,effective,0,"[-3,+3]",m3_p3,116,0.007689494040466443,0.09955783232435404,0.009243712670822576,-0.010428182794345806,0.025807170875278694,0.8318620790473116,0.4072108274993241
US,effective,0,"[-1,+1]",m1_p1,113,-0.006123113640002328,0.06712766237747385,0.006314839284429813,-0.018500198637484762,0.006253971357480105,-0.9696388719028506,0.334315850622254
US,effective,1,"[-5,+5]",m5_p5,259,0.00020783082967753904,0.08154323392327657,0.005066850018188748,-0.009723195205972406,0.010138856865327485,0.04101775835706156,0.9673134624604915
US,effective,1,"[-3,+3]",m3_p3,259,-0.0007914978454326898,0.06535356151128743,0.0040608727223613705,-0.008750808381260975,0.007167812690395596,-0.19490831147557833,0.8456181244321954
US,effective,1,"[-1,+1]",m1_p1,258,-0.0015137585085601086,0.0448102947515391,0.0027897670957494655,-0.006981702016229061,0.003954184999108844,-0.5426110698869793,0.5878678409957296
