market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
CN,announce,main_car,car_m1_p1,const,-0.10505701993854212,0.5702883472493874,-0.18421737081820583,0.8538429327421042
CN,announce,main_car,car_m1_p1,inclusion,-0.00013482969190361724,0.016807963908568792,-0.00802177423970314,0.9935996188268424
CN,announce,main_car,car_m1_p1,log_mkt_cap,0.004090233062083429,0.02404571984717536,0.1701023337242244,0.8649296582176906
CN,announce,main_car,car_m1_p1,pre_event_return,0.22144870911266537,0.12051573801402383,1.8375086338258697,0.0661348430784122
CN,announce,turnover_mechanism,turnover_change,const,-0.08704746234334888,0.05703924053990026,-1.5260978498207243,0.12698549749266466
CN,announce,turnover_mechanism,turnover_change,inclusion,0.003934719860119331,0.0022990955266213023,1.711420780284717,0.0870034638038611
CN,announce,turnover_mechanism,turnover_change,log_mkt_cap,0.0036705567040340573,0.0024104527332253745,1.5227665132941914,0.1278171306136545
CN,announce,turnover_mechanism,turnover_change,pre_event_return,0.011686191675043773,0.011643924657615871,1.0036299631499468,0.31555700658848185
CN,announce,volume_mechanism,volume_change,const,0.2839902623910324,1.0153605644983847,0.27969400459366,0.7797122784686317
CN,announce,volume_mechanism,volume_change,inclusion,0.09803843644972247,0.03335702234174434,2.9390643878615377,0.0032920467571984063
CN,announce,volume_mechanism,volume_change,log_mkt_cap,-0.011381001620059533,0.043079136710947444,-0.2641882472349393,0.7916348667986897
CN,announce,volume_mechanism,volume_change,pre_event_return,0.10581574383528014,0.2200346603113783,0.48090488873678716,0.6305840980756325
CN,announce,volatility_mechanism,volatility_change,const,0.11132597281653975,0.189250138038298,0.5882477760413102,0.5563659935422478
CN,announce,volatility_mechanism,volatility_change,inclusion,0.00048733009171552755,0.0068213845593938695,0.07144152150818343,0.9430463646284823
CN,announce,volatility_mechanism,volatility_change,log_mkt_cap,-0.004752148079345951,0.007945596450248938,-0.5980857584577007,0.5497827123815437
CN,announce,volatility_mechanism,volatility_change,pre_event_return,0.03833770573791664,0.048746149676709025,0.7864765933756291,0.43158832661163615
CN,effective,main_car,car_m1_p1,const,0.5279880847515083,0.7323761838610707,0.7209247056177701,0.4709558415486317
CN,effective,main_car,car_m1_p1,inclusion,0.03989101189978183,0.021410398475291578,1.8631606481223406,0.06243966756290971
CN,effective,main_car,car_m1_p1,log_mkt_cap,-0.0225568959628029,0.030695448782467532,-0.7348612532971608,0.46242399797365874
CN,effective,main_car,car_m1_p1,pre_event_return,0.10794775682991825,0.15098592359786572,0.7149524555509237,0.47463842222253105
CN,effective,turnover_mechanism,turnover_change,const,-0.01353448975011593,0.03256396531071786,-0.4156278150087971,0.6776823698444655
