market,event_phase,relative_day,n_events,ar_mean,ar_se,ar_t
CN,announce,-20,118,-0.004322004764989975,0.0027277581080608834,-1.5844530906966725
CN,announce,-19,118,0.01203621236018649,0.0033196430557199163,3.6257549857498907
CN,announce,-18,118,0.0006142050053537634,0.0023689990961976598,0.2592677246435372
CN,announce,-17,118,0.0030275483102761356,0.0027389784345963697,1.1053567534650162
CN,announce,-16,118,0.0019908378436048033,0.00294547127992983,0.6758978969410393
CN,announce,-15,118,-0.004700322336575075,0.002151555124225934,-2.184616272969586
CN,announce,-14,118,0.0031964414893283053,0.0031837078178375447,1.0039996357138732
CN,announce,-13,118,0.008507099555622398,0.002649957494126741,3.2102777401060925
CN,announce,-12,118,0.002873459025300687,0.002344843177312099,1.225437612674184
CN,announce,-11,118,-0.0049944654298698975,0.0019058701045482922,-2.6205696904268456
CN,announce,-10,118,-0.00012842662779837707,0.0017110069953578378,-0.07505908984990332
CN,announce,-9,118,0.0014880307835033904,0.0027280199320789816,0.5454618443236172
CN,announce,-8,118,0.005214437928877183,0.002515534342164923,2.0728947490295546
CN,announce,-7,118,0.0024352724154951687,0.0022541264451174693,1.0803619383331706
CN,announce,-6,118,0.005439843131802042,0.0021974751005727354,2.4754970513132264
CN,announce,-5,118,-0.00014642452993275917,0.0022741808997724503,-0.06438561239671395
CN,announce,-4,118,0.011747564930644015,0.0025341395631832235,4.635721371196888
CN,announce,-3,118,-0.007272616544809748,0.0021234070324235624,-3.424975256161371
CN,announce,-2,118,-0.0026311493882826813,0.0028572824790385146,-0.9208572857549849
CN,announce,-1,118,0.0036122021974560165,0.0022213772663625562,1.6261092846110277
CN,announce,0,118,0.0020968379817559923,0.001877265990587003,1.11696370800407
CN,announce,1,118,0.012558727999585167,0.0023169244282342785,5.420430570174504
CN,announce,2,118,-0.0008028773298258991,0.0017095515243066347,-0.46964207770896677
CN,announce,3,118,0.0016569301502406667,0.0023542022473697424,0.7038180989300684
CN,announce,4,118,0.0024112931444649852,0.002264723227978296,1.064718688215836
CN,announce,5,118,0.008797409882274728,0.0021044609301248676,4.180362655510424
CN,announce,6,118,-0.0004569635000880879,0.0021524299116031237,-0.21230122180737712
CN,announce,7,118,-0.00026893208207180594,0.002389660621075859,-0.11253986432212658
CN,announce,8,118,0.0019532824007888385,0.001864895040871453,1.047395353615227
CN,announce,9,118,-0.003767862502499235,0.0025930082036429948,-1.453085453877721
CN,announce,10,118,0.010650116625048752,0.002677565166235015,3.977537786698996
CN,announce,11,118,-0.00667039086339283,0.0024297463407327905,-2.7453033889048264
CN,announce,12,118,-0.009987810163816902,0.001834793926612811,-5.443559638468647
CN,announce,13,118,0.004128264783811385,0.002075610744093078,1.9889397834155067
CN,announce,14,118,-0.00015506885997106868,0.002325225480731981,-0.06668981621612585
CN,announce,15,118,-0.0009583695438204595,0.0026451993166943656,-0.3623052288619627
CN,announce,16,118,-0.0060770458479898265,0.0025288139834810054,-2.4031209443189447
CN,announce,17,118,0.002194976698840577,0.002454036405605079,0.8944352634000036
CN,announce,18,118,0.0016096123888579804,0.0020050470970485196,0.8027803392884739
CN,announce,19,118,0.0023602806106612848,0.0025060704229554888,0.9418253330158737
CN,announce,20,118,-0.002892421500519013,0.0021261733775301914,-1.360388353596503
CN,effective,-20,118,-0.0021596047541147935,0.0018798414341076593,-1.1488228288466973
CN,effective,-19,118,-0.0037757946485195014,0.0022339497618095124,-1.6901878068471359
CN,effective,-18,118,0.005960336862621428,0.002544212147355504,2.3427043490916044
CN,effective,-17,118,0.0058018990657762275,0.002558960066564131,2.267287849304476
CN,effective,-16,118,0.0021335815861293103,0.0017903991751951362,1.1916792722476375
CN,effective,-15,118,0.005484806935994232,0.002568044009505002,2.135791643637542
CN,effective,-14,118,0.0019405143442854684,0.0022404048514631397,0.8661445019716763
CN,effective,-13,118,0.004675488686831024,0.0026762947053007385,1.7470006862736864
CN,effective,-12,118,-0.0036575150784076828,0.002874616658093574,-1.2723488080088292
CN,effective,-11,118,-0.0018496558524705928,0.0023001536015319225,-0.8041444933237092
CN,effective,-10,118,0.005024635387044672,0.0019345370221631392,2.5973322451209957
CN,effective,-9,118,0.008110780756106762,0.0018819074935060671,4.309872182397266
CN,effective,-8,118,0.00690676977697794,0.002245513558078741,3.075808539266788
CN,effective,-7,118,-0.0020542915131134916,0.0020032269353585258,-1.0254911597151755
CN,effective,-6,118,0.002313192856416327,0.002360029072804178,0.9801543900761357
CN,effective,-5,118,0.007967063951937739,0.0021687748902449585,3.6735319962312345
CN,effective,-4,118,0.007797848924997329,0.00233228754685173,3.343433761211546
CN,effective,-3,118,-0.00347203984684068,0.002099876620193211,-1.6534494519593324
CN,effective,-2,118,0.0025187428275543207,0.0019668717064130065,1.2805831815781032
CN,effective,-1,118,-0.00025527464919745203,0.0020708932446659176,-0.12326789411041499
CN,effective,0,118,0.004580122647941525,0.003111171077027558,1.4721539042839833
CN,effective,1,118,-0.00017305146297909638,0.002338656877791455,-0.07399608921789333
CN,effective,2,118,-0.010273425604874606,0.002157006983179754,-4.7628151809365145
CN,effective,3,118,-0.0028923792725216836,0.002015189843212461,-1.4352887308675963
CN,effective,4,118,0.0007138766285322019,0.0023636175552280933,0.30202713080767907
CN,effective,5,118,0.0031000029576768585,0.002099574769137694,1.4764908605517515
CN,effective,6,118,-0.00262913021500352,0.003168022777515994,-0.8298962474837341
CN,effective,7,118,-0.003420096856079048,0.002364307376634571,-1.4465533922866327
CN,effective,8,118,0.0014015902868270173,0.0022446608294785404,0.6244107209518251
CN,effective,9,118,0.0028774008345973687,0.0022963906439608817,1.253010171489962
CN,effective,10,118,-0.001233626035921982,0.002444480324770787,-0.5046577889873817
CN,effective,11,118,-0.0028603172713204715,0.002120553395717596,-1.3488541609453504
CN,effective,12,118,0.001903567389794339,0.00224996702968229,0.8460423484797176
CN,effective,13,118,0.0009871232632347258,0.002092362108075814,0.4717745840573016
CN,effective,14,118,-0.004766660731081523,0.0019057996223052348,-2.5011342615945225
CN,effective,15,118,0.0023871370229707123,0.0023228769720700622,1.0276639923996422
CN,effective,16,118,0.0002362831577600769,0.0027175118498197343,0.086948344963335
CN,effective,17,118,-0.0009667414976505571,0.0024186375848272252,-0.39970498420895745
CN,effective,18,118,0.004720513314877288,0.0022956354963342617,2.0562991478460506
CN,effective,19,118,-0.0028690197141208887,0.0024188055863006834,-1.1861307623771293
CN,effective,20,118,-0.00454257195883747,0.0022611293691145937,-2.0089836613887497
US,announce,-20,318,0.0036528612403234867,0.0012776734431168967,2.8589944167676338
US,announce,-19,318,0.0031360708625788702,0.0012564495733112036,2.495978294070472
US,announce,-18,318,0.0012885027781424229,0.001368747810853862,0.941373398316977
US,announce,-17,318,0.002487525565255795,0.001159754022254042,2.144873410674757
US,announce,-16,318,0.004390065121753398,0.0011980776959300862,3.6642574489672994
US,announce,-15,318,0.00048396906986845385,0.0009692937618235847,0.4993007165938391
US,announce,-14,318,0.0037942712835239783,0.0011026051278633466,3.441187772159743
US,announce,-13,318,0.003350492939023373,0.0011459089219663825,2.9238736821019935
US,announce,-12,318,0.0016631364810395604,0.00121456282996751,1.3693293092824599
US,announce,-11,318,0.0010397828604711973,0.0011664387277923766,0.8914166134033542
US,announce,-10,318,0.0028575305074704624,0.0011959030046346344,2.3894333373160803
US,announce,-9,318,0.0020611914998737266,0.0012534934088530858,1.644357668988195
US,announce,-8,318,-0.0018229968819077215,0.001124513867652335,-1.6211421969509547
US,announce,-7,318,0.0016378518158328094,0.001119615715223005,1.4628696199629372
US,announce,-6,318,0.0003749047992367802,0.0018109107155512485,0.2070255568191597
US,announce,-5,318,-0.0007794633119646034,0.00144821192283292,-0.5382246200817462
US,announce,-4,318,0.0014113375054995152,0.0011412512476446227,1.2366580176033204
US,announce,-3,318,-1.3274689612680954e-05,0.0011945677941498183,-0.011112546041916891
US,announce,-2,318,0.0010434727485836917,0.0012029138540184342,0.867454261248953
US,announce,-1,318,0.0038264902902205803,0.0012889612421810056,2.9686620241163433
US,announce,0,318,-2.6172251375829433e-05,0.0013676966409255154,-0.019136006181984015
US,announce,1,318,0.014729786397150517,0.00254152776475332,5.795642527076695
US,announce,2,318,-0.004763101092121603,0.0014219675672054856,-3.3496552255986143
US,announce,3,318,-0.0004514473929606268,0.001616852099393812,-0.2792137840745501
US,announce,4,318,-0.0005641980873329823,0.0021061324569258844,-0.2678834778304908
US,announce,5,318,-0.0009269085439227522,0.0014840624131464374,-0.624575176698644
US,announce,6,318,-0.00044595462098427223,0.0013495611515422748,-0.33044417474127535
US,announce,7,318,-0.0020473571588838133,0.001334039302952377,-1.534705277687685
US,announce,8,318,-0.0019065833975932072,0.001280082889222676,-1.4894218285746874
US,announce,9,318,-0.0007030911097364457,0.0011979609795055044,-0.5869065201327913
US,announce,10,318,-0.0013449233691539416,0.0010614295542598863,-1.2670867922946898
US,announce,11,318,-0.00329657995998188,0.0012520617601633583,-2.632921206340309
US,announce,12,318,9.8699414192805e-05,0.0011965048617326153,0.08248977279530813
US,announce,13,318,-0.0019345693299020626,0.0011473214177390356,-1.6861616108539261
US,announce,14,318,0.002443961952989945,0.0011269888407406297,2.1685768879342517
US,announce,15,318,0.0014156349764419273,0.0010166478228739013,1.3924536546393746
US,announce,16,318,0.002109986653473872,0.0010770304398457404,1.9590780124803888
US,announce,17,318,0.0016995923020253112,0.0011391096084371044,1.492035787809048
US,announce,18,318,0.0030091051891819516,0.001038585402831171,2.8973112668242473
US,announce,19,318,-0.0029685138259906863,0.0019511060194772045,-1.5214518310932659
US,announce,20,318,-0.0013661317284823424,0.0012420917164195548,-1.0998638107178949
US,effective,-20,318,0.0019142704598093623,0.0011983527635918566,1.5974181542934531
US,effective,-19,318,0.002491056596518493,0.0011787206691469077,2.113356168023575
US,effective,-18,318,0.0031624831562282168,0.0010056017537371411,3.1448663891798194
US,effective,-17,318,0.0015268850852069667,0.0016219970225147407,0.9413612133761425
US,effective,-16,318,0.0018308518401176494,0.0012709714702176386,1.4405137196385203
US,effective,-15,318,0.0006881160076545159,0.0009936597392284823,0.6925066805955096
US,effective,-14,318,0.0010207584806413799,0.001007989723370013,1.0126675470744653
US,effective,-13,318,0.002595908518622402,0.0012202011835015436,2.1274430427719038
US,effective,-12,318,-0.0010066741136101536,0.0011989920562262147,-0.8396003196039721
US,effective,-11,318,0.0015755354062844153,0.0013546279492805114,1.163076110397128
US,effective,-10,318,0.00457941073557747,0.001732551018211753,2.6431606847018534
US,effective,-9,318,0.0032775808340838788,0.0013453587244129934,2.4362133121885035
US,effective,-8,318,-0.0007836578409381232,0.0011396835943096265,-0.6876100040843625
US,effective,-7,318,0.002432159269857848,0.0011570918402262268,2.101958708292618
US,effective,-6,318,0.0008004106496147441,0.0012958011500284832,0.6176955851576071
US,effective,-5,318,0.0007105666227761293,0.0012828638850033514,0.5538908929330979
US,effective,-4,318,0.0021118290151211487,0.0015662032776849466,1.348374789665048
US,effective,-3,318,0.002666246366683557,0.0016409329524770418,1.6248356538021684
US,effective,-2,318,0.002111401501964236,0.001740961339619497,1.2127790858501786
US,effective,-1,318,-0.0007441511205782408,0.0015669581722041743,-0.4749017132547161
US,effective,0,318,0.0021714490846650746,0.0021889835867765473,0.9919896603074609
US,effective,1,318,-0.002837557717843875,0.0017956550926147227,-1.5802353856897973
US,effective,2,318,-0.0022343907047070216,0.0012075802577823477,-1.8503041021971929
US,effective,3,318,-0.0017364741840494517,0.001341827319407153,-1.2941115141527018
US,effective,4,318,-9.362677027268472e-05,0.0013483506003806398,-0.06943800095186953
US,effective,5,318,-0.001969755072254447,0.0013973493844783474,-1.4096367695397725
US,effective,6,318,-0.001979899791136347,0.0010846066473795346,-1.8254542288855473
US,effective,7,318,-0.00012017352044594165,0.0011040326688601329,-0.10884960548315634
US,effective,8,318,2.6875094538131415e-05,0.001183391352508854,0.022710234007671897
US,effective,9,318,-0.00035122631459784376,0.0011710644892848365,-0.2999205575880249
US,effective,10,318,-0.0005099630735332304,0.0012824255520990356,-0.3976551096463558
US,effective,11,318,-0.000919257757025693,0.001201792452441961,-0.7649055834539679
