event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
CN-csi300-688981-20211126-20211210-add-01,CN,688981,2021-11-26,2021-12-10,计算机、通信和其他电子设备制造业,csi300-2021-11,14,0.0098349999999999,0.0039200000000001,-0.0330560000000003,0.015002,-0.009370000000000002
US-s-p500-aal-20150316-20150323-add-01,US,AAL,2015-03-16,2015-03-23,,sp500-20150323,7,0.0470367499498687,0.0963670921164252,-0.0033377946100346992,-0.023829606890976098,-0.04730158004534519
US-s-p500-aap-20150706-20150708-add-01,US,AAP,2015-07-06,2015-07-08,,sp500-20150708,2,0.044912837698350104,0.0035226540469595995,-0.0049941718595817,0.0003358875789635993,0.0555399061420495
US-s-p500-abbv-20121220-20130102-add-01,US,ABBV,2012-12-20,2013-01-02,Health Care,sp500-20130102,13,0.0,0.0,-0.0340526833084387,-0.0061720481677484,0.04036461111089099
US-s-p500-abmd-20180525-20180531-add-01,US,ABMD,2018-05-25,2018-05-31,,sp500-20180531,6,0.0,0.0,0.0,0.0,0.0
US-s-p500-abnb-20230914-20230918-add-01,US,ABNB,2023-09-14,2023-09-18,Consumer Discretionary,sp500-20230918,4,0.10658512369168181,-0.030010790782772596,-0.004881842677103201,-0.0022281634298158,-0.1043820212750976
US-s-p500-acgl-20221027-20221101-add-01,US,ACGL,2022-10-27,2022-11-01,Financials,sp500-20221101,5,0.06563779539921279,0.1360831430949919,0.029267932439221104,0.029267932439221104,-0.019505283303948198
US-s-p500-acn-20110627-20110705-add-01,US,ACN,2011-06-27,2011-07-05,Information Technology,sp500-20110705,8,0.04493223696949031,0.059168575001791,0.0190918231359153,0.0134977625785546,-0.001812610097879296
US-s-p500-ads-20131211-20131223-add-01,US,ADS,2013-12-11,2013-12-23,,sp500-20131223,12,0.0,0.0,0.0,0.0,0.0
US-s-p500-adt-20121001-20121001-add-01,US,ADT,2012-10-01,2012-10-01,,sp500-20121001,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-ajg-20160524-20160531-add-01,US,AJG,2016-05-24,2016-05-31,Financials,sp500-20160531,7,0.07844358825276058,-0.0109956950031789,0.0031877537834935,0.0011951818613214,-0.0244623340360815
