market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
CN,announce,0,"[-5,+5]",m5_p5,baseline,137,-0.021133335766423282,0.06778908672908124,0.005791612535661621,-0.032484896336320054,-0.009781775196526506,-3.648955387864022,0.000374265929916991,0.00832231419958901,0.01110560939116439
CN,announce,0,"[-3,+3]",m3_p3,baseline,137,-0.017624416058394078,0.04194980075666808,0.0035840133516151745,-0.02464908222755982,-0.010599749889228335,-4.91750848262087,2.486952035874784e-06,0.0032907041942381336,8.516973506418639e-08
CN,announce,0,"[-1,+1]",m1_p1,baseline,137,-0.010911233576642275,0.02844115693339046,0.002429892022036629,-0.01567382193983407,-0.0061486452134504824,-4.490419112326217,1.5028435857434286e-05,0.0032977794906572924,0.000937433509445635
CN,announce,1,"[-5,+5]",m5_p5,baseline,137,0.033366810218978096,0.07105935416913313,0.006071010338680633,0.021467629955164054,0.04526599048279214,5.496088518641768,1.853355190383409e-07,0.009802717524075216,0.000664474436823096
CN,announce,1,"[-3,+3]",m3_p3,baseline,137,0.015326715328467175,0.05785422001982382,0.004942819590516682,0.005638788931054479,0.02501464172587987,3.100804115503849,0.0023467115292975975,0.007927295799892355,0.05318567375579296
CN,announce,1,"[-1,+1]",m1_p1,baseline,137,0.020697963503649636,0.03738633496117983,0.0031941301568047848,0.014437468396312257,0.026958458610987016,6.480000027411102,1.5560078403999203e-09,0.003869946089059458,8.874229521970154e-08
CN,effective,0,"[-5,+5]",m5_p5,baseline,137,6.197080292046086e-06,0.0776961961067175,0.006638034011923729,-0.01300434958307846,0.013016743743662554,0.0009335716389693742,0.9992564857107082,0.009036234799508573,0.9994528081209492
CN,effective,0,"[-3,+3]",m3_p3,baseline,137,0.003141773722627791,0.06322072110157259,0.005401310719950416,-0.007444795288475022,0.013728342733730605,0.5816687625511446,0.5617527047163019,0.008045105170040954,0.6961521379133573
CN,effective,0,"[-1,+1]",m1_p1,baseline,137,-0.001524087591240869,0.04212304640040997,0.0035988147258548702,-0.008577764453916415,0.0055295892714346765,-0.4234970976114458,0.6726016100101045,0.004779418663212785,0.7498132954913339
CN,effective,1,"[-5,+5]",m5_p5,baseline,137,0.007412240875912467,0.07687868609120907,0.006568189417722751,-0.005461410382824124,0.02028589213464906,1.1285059556766492,0.2610930878489409,0.007564662154889276,0.32715973206940496
CN,effective,1,"[-3,+3]",m3_p3,baseline,137,-0.00736110948905104,0.06184974484025049,0.005284180313209573,-0.017718102902941804,0.0029958839248397234,-1.3930466132371542,0.16587854156666773,0.009774694303857242,0.45140290530533933
CN,effective,1,"[-1,+1]",m1_p1,baseline,137,0.004947445255474445,0.046147098171295316,0.003942612670405328,-0.0027800755785199983,0.01267496608946889,1.2548646466369249,0.21168002954708484,0.005750332419755521,0.3895820746764379
US,announce,0,"[-5,+5]",m5_p5,baseline,116,-0.007339238996521437,0.10173546883736397,0.009445901145177613,-0.025853205241069557,0.011174727248026685,-0.7769760538165611,0.43876819424486707,0.010090280197579526,0.46700710281924296
