market,event_phase,n_additions,n_deletions,addition_car_m1_p1,deletion_car_m1_p1,asymmetry_car_m1_p1,addition_turnover_change,deletion_turnover_change,addition_volume_change,deletion_volume_change,addition_car_p0_p120,deletion_car_p0_p120,asymmetry_car_p0_p120
CN,announce,137,137,0.020697963503649636,-0.010911233576642275,0.03160919708029191,0.0018763829683698125,-0.00011869489051094887,0.15037649232499214,0.05949944885236824,0.0013649562043796294,0.018313036496350465,-0.016948080291970837
CN,effective,137,137,0.004947445255474445,-0.001524087591240869,0.0064715328467153145,0.0013801846715328287,0.004216984671532826,0.12351424957894125,0.18327876234838492,-0.013959291970802866,0.02506839416058404,-0.03902768613138691
US,announce,318,293,0.018730520622938014,0.0008657724461231435,0.01786474817681487,0.029433899942704955,0.024852586378891556,1.495325930357293,0.4331425591465572,0.019193985972498318,0.058386275000179295,-0.039192289027680974
US,effective,318,293,-0.0015137585085601073,-0.006123113640002319,0.004609355131442212,-0.0247090301375353,-0.04338737466808823,-0.5699784832869698,-1.0579682480765795,0.0034313707933908643,0.0592054481317691,-0.05577407733837824
