market,event_phase,outcome,spec,coef,se,t,p_value,n_obs,r_squared
CN,announce,car_1_1,no_fe,0.0180924525547445,0.0036019480351705,5.022963234917342,5.088028727987593e-07,548,0.0496796170519564
CN,announce,car_1_1,controls,0.0172496751327643,0.0037462861578066,4.604473445473118,4.1351077399226914e-06,548,0.0527445840206908
CN,announce,car_1_1,controls_fe,0.0173509522579963,0.0038766735254391,4.475732130688227,7.614991115303706e-06,548,0.1582251951250497
CN,announce,turnover_change,no_fe,0.0017396808191403,0.0010952024143515,1.5884559752092655,0.1121832686424683,548,0.0086558941126183
CN,announce,turnover_change,controls,0.0032395482300136,0.0008812876416589,3.675926084604472,0.0002369881380755,548,0.2532298533061135
CN,announce,turnover_change,controls_fe,0.0031958061032199,0.0008805325220241,3.629401553361745,0.0002840790438749,548,0.3210347022065863
CN,announce,volume_change,no_fe,9100379.249716152,6833284.501980356,1.3317723339455234,0.1829350117276424,548,0.0039760435515643
CN,announce,volume_change,controls,10406423.031533668,6655690.689976451,1.5635376576627673,0.1179261854039579,548,0.0097163514230199
CN,announce,volume_change,controls_fe,9879942.259133875,7063675.787903592,1.3986970177840108,0.1619038589057967,548,0.1947034996157728
CN,announce,volatility_change,no_fe,0.002447031752938,0.0011950657977063,2.04761257299353,0.0405979764017227,548,0.0093345538909352
CN,announce,volatility_change,controls,0.0031021267007119,0.0011756254312468,2.638703296356871,0.0083223784005069,548,0.0279023613376888
CN,announce,volatility_change,controls_fe,0.0028960717398323,0.0011523961094014,2.513087050716116,0.0119679799486346,548,0.1717132815126816
CN,announce,price_limit_hit_share,no_fe,0.0037602300376022,0.0023779525947185,1.581288897833285,0.113811996926,548,0.0073140485409861
CN,announce,price_limit_hit_share,controls,0.0037488271171258,0.0023628974807584,1.5865382005158155,0.1126172736869839,548,0.0077024703897389
CN,announce,price_limit_hit_share,controls_fe,0.0037998508741912,0.0024396363613289,1.5575480569249036,0.1193404201131586,548,0.0619960593145473
CN,effective,car_1_1,no_fe,0.00453600973236,0.0043268184205806,1.0483476058954588,0.2944784836301772,548,0.0026210223411197
CN,effective,car_1_1,controls,0.0056849218178884,0.0043549700233503,1.3053871295111668,0.191761058700542,548,0.0153169615495182
CN,effective,car_1_1,controls_fe,0.0059272723121821,0.0044445963260315,1.333590696969884,0.1823380334770158,548,0.077997915819223
CN,effective,turnover_change,no_fe,0.0033060945255474,0.0007799252232211,4.238989107049391,2.2452855158869815e-05,548,0.046725392581096
CN,effective,turnover_change,controls,0.0043871135198029,0.000677437691995,6.476039895097943,9.416116090726135e-11,548,0.1524750711233446
CN,effective,turnover_change,controls_fe,0.0044589773676521,0.0007166076670636,6.222341139501024,4.89790616673906e-10,548,0.2011670705676508
