market,event_phase,inclusion,n_event_windows,avg_window_obs,avg_turnover,avg_volume
CN,announce,0,121,4961,0.012528338956563766,34715633.328330204
CN,announce,1,118,4838,0.009812195024772007,42043678.65749427
CN,effective,0,121,4961,0.012169457326012748,33818820.557848655
CN,effective,1,118,4838,0.009652324462415932,41635215.32999791
US,announce,0,293,12013,0.030125090465496673,5296013.798495908
US,announce,1,318,13038,0.019232939483937596,9328110.817484815
US,effective,0,293,12000,0.029639690970868535,5251147.406862745
US,effective,1,318,13025,0.019116379822690297,9170375.270654427
