market,event_phase,period,car_mean,car_se,n_events
CN,announce,post,0.014802119218083531,0.0049943610212631806,473
CN,effective,post,0.004807031673291441,0.005024912873964746,473
US,announce,post,0.012958218242876266,0.004512503737592605,1265
US,effective,post,-0.0008048758228475563,0.003878441532497291,1267
