market,dim,bucket,announce_car,effective_car,gap_drift,n_events,asymmetry_index
CN,gap_bucket,11-20,0.020697963503649643,0.004947445255474445,0.006321459854014638,137,0.5418273335998309
US,gap_bucket,11-20,0.029404908631485194,-0.008618538975980795,0.008616665005467292,51,-6.35138558437225e-05
US,gap_bucket,>20,0.0216851130099904,0.02241485260085945,-0.028235441012903345,2,-0.26718192415961484
US,gap_bucket,≤10,0.012200989406126302,1.5721084395448655e-05,-0.00548185121869395,265,-0.4443650794119201
