market,dim,bucket,announce_car,effective_car,gap_drift,n_events,asymmetry_index
CN,size,Q1,0.021448535714285726,0.007792821428571426,0.02077589285714291,28,1.325784483201545
CN,size,Q2,0.03045118518518518,0.003780148148148124,-0.00041074074074067864,27,0.11028728957596487
CN,size,Q3,0.0163308148148148,-0.004692074074074093,0.001925703703703698,27,-0.16836477080102594
CN,size,Q4,0.023889444444444467,0.007693851851851855,0.019597185185185266,27,1.1376268883691154
CN,size,Q5,0.0116761785714286,0.009874607142857149,-0.010204035714285702,28,-0.027974148780981808
US,size,Q1,0.003922718882987252,-0.006173001455171157,-0.018816171383754333,51,-6.212010723545426
US,size,Q2,-0.01126168577910089,0.003276728150868394,0.00021349662357187643,50,0.3071925101872049
US,size,Q3,0.005829113576422745,-0.0021957504628625237,0.0012309623428300076,50,-0.16272046531019713
US,size,Q4,0.029867363287253416,0.004759192322095982,-0.009748818617721906,50,-0.16650201246595012
US,size,Q5,0.06684331098109328,-0.00888253824029248,0.006820532728888038,50,-0.030802263604601372
