market,status,signal,n_obs,sector_count,eligible_sectors,collapsed_sector_rows,joint_p_value,min_term_p_value,max_abs_t,top_term,r_squared,note
CN,pass,weak,1096,22,专用设备制造业 | 化学原料和化学制品制造业 | 化学纤维制造业 | 医药制造业 | 土木工程建筑业 | 有色金属冶炼和压延加工业 | 有色金属矿采选业 | 水上运输业 | 汽车制造业 | 煤炭开采和洗选业 | 电信、广播电视和卫星传输服务 | 电力、热力生产和供应业 | 电气机械和器材制造业 | 计算机、通信和其他电子设备制造业 | 货币金融服务 | 资本市场服务 | 软件和信息技术服务业 | 道路运输业 | 酒、饮料和精制茶制造业 | 铁路、船舶、航空航天和其他运输设备制造业 | 非金属矿物制品业,160,0.29527086767147354,0.020768048542911095,-2.312174870194263,effective_x_sector_汽车制造业,0.10561858824803838,OLS HC3: car_1_1 ~ treatment + phase + sector + treatment×sector + phase×sector
US,pass,support,1930,11,Communication Services | Consumer Discretionary | Consumer Staples | Energy | Financials | Health Care | Industrials | Information Technology | Materials | Real Estate | Utilities,0,0.09502919760976371,0.008360176604049583,2.6371665807232865,effective_x_sector_Industrials,0.046158777859222844,OLS HC3: car_1_1 ~ treatment + phase + sector + treatment×sector + phase×sector
