market,metric,mean,median,se,t,p_value,n_events
CN,gap_length_days,14.0,14.0,0.0,,,137
CN,pre_announce_runup,0.02749536496350368,0.014335000000000105,0.009749590220544418,2.820155959536147,0.004800031410920891,137
CN,announce_jump,0.020697963503649646,0.016692,0.0031941301568047856,6.480000027411104,9.172262949164178e-11,137
CN,gap_drift,0.006321459854014638,-0.0025649999999998972,0.007029741126843518,0.8992450418800968,0.3685221536188248,137
CN,effective_jump,0.004947445255474446,-0.0012669999999999002,0.00394261267040533,1.2548646466369247,0.20952789979757247,137
CN,post_effective_reversal,-0.020144386861313736,-0.02199399999999941,0.008853043514925394,-2.275419388524659,0.022880783379092273,137
US,gap_length_days,7.087774294670846,7.0,0.2850677148606044,24.863476027570172,0.0,319
US,pre_announce_runup,0.026055084059745076,0.0054073693657604545,0.004809477845900896,5.417445488797032,6.045657308106911e-08,318
US,announce_jump,0.015019757103299359,0.0,0.0028449919600271292,5.279367152642545,1.2963082429706674e-07,318
US,gap_drift,-0.003363872766354943,0.0,0.002745451112213304,-1.225253202065975,0.22047983478356636,318
US,effective_jump,-0.001228143695624238,0.0,0.0022628100757911937,-0.5427515586763579,0.5873008699451827,318
US,post_effective_reversal,-0.006922723089565023,0.0,0.004259349465472677,-1.6253005642486724,0.10409853127971402,318
