market,inclusion,event_phase,announce_year,n_events,mean_car_m1_p1,mean_car_m3_p3,mean_car_m5_p5,se_car_m1_p1,ci_low_95_car_m1_p1,ci_high_95_car_m1_p1,se_car_m3_p3,ci_low_95_car_m3_p3,ci_high_95_car_m3_p3,se_car_m5_p5,ci_low_95_car_m5_p5,ci_high_95_car_m5_p5
CN,0,announce,2020,21,-0.008637571428571363,-0.01940285714285701,-0.032686571428571266,0.007999712324759644,-0.024317007585100265,0.00704186472795754,0.01114908355496748,-0.04125506091059327,0.0024493466248792506,0.02025277234738746,-0.07238200522945068,0.007008862372308154
CN,0,announce,2021,28,-0.020851428571428455,-0.0075424285714284995,-0.0054518571428571186,0.0046009426718214685,-0.029869276208198535,-0.011833580934658377,0.0062680965148219575,-0.019827897740479536,0.004743040597622538,0.012826118414646948,-0.030591049235565135,0.019687334949850897
CN,0,announce,2022,28,-0.006721999999999986,-0.013630142857142856,0.0023098571428571074,0.005342151687858044,-0.017192617308201753,0.00374861730820178,0.00913071438608733,-0.03152634305387402,0.004266057339588311,0.011655075935746924,-0.020534091691206863,0.025153805976921077
CN,0,announce,2023,14,-0.012655999999999806,-0.027441142857142657,-0.02745614285714265,0.0057808988236079,-0.02398656169427129,-0.0013254383057283228,0.01314318636114183,-0.053201788124980644,-0.0016804975893046706,0.019490509706080673,-0.06565754188106077,0.010745256166775463
CN,0,announce,2024,28,-0.008141285714285722,-0.023494285714285596,-0.039346571428571335,0.006458980627235871,-0.02080088774366803,0.004518316315096586,0.00781621011677457,-0.03881405754316375,-0.00817451388540744,0.009835434468744355,-0.05862402298731027,-0.0200691198698324
CN,0,announce,2025,18,-0.00756966666666661,-0.020679833333333304,-0.03526572222222216,0.0036636395035216885,-0.01475040009356912,-0.00038893323976410023,0.00597569263808823,-0.032392190903986234,-0.008967475762680373,0.012105306478291633,-0.05899212291967376,-0.011539321524770555
CN,0,effective,2020,21,0.013528952380952398,0.03902209523809539,0.013525238095238236,0.00719077656263188,-0.0005649696818060858,0.027622874443710883,0.012380867490551447,0.014755594956614555,0.06328859551957622,0.016092234856468383,-0.018015542223439797,0.04506601841391627
CN,0,effective,2021,28,0.001612714285714273,0.012428678571428526,0.026225928571428553,0.011146961219343499,-0.020235329704198984,0.02346075827562753,0.012417140965592714,-0.011908917721133191,0.03676627486399024,0.017507045824688615,-0.008087881244961133,0.06053973838781824
CN,0,effective,2022,28,0.009881999999999986,0.009925857142857203,0.008357428571428597,0.007569481724096337,-0.0049541841792288335,0.024718184179228806,0.0133319214813727,-0.016204708960633286,0.036056423246347696,0.012061801266483315,-0.0152837019108787,0.031998559053735894
CN,0,effective,2023,14,-0.02303985714285711,-0.011396142857142843,-0.00845085714285705,0.0052269847619566346,-0.03328474727629211,-0.012794967009422105,0.009272188796953074,-0.029569632899170868,0.006777347184885181,0.012782888907543765,-0.03350531940164283,0.016603605115928732
CN,0,effective,2024,28,-0.013691571428571404,-0.023895285714285647,-0.03407771428571423,0.007302948053602768,-0.02800534961363283,0.0006222067564900218,0.012868715538701744,-0.049117968170141066,0.0013273967415697724,0.017029166408655927,-0.06745488044667985,-0.0007005481247486164
CN,0,effective,2025,18,-0.006046555555555549,-0.010352999999999904,-0.009945944444444205,0.007535975950788588,-0.020817068419101182,0.008723957307990082,0.009896457031903559,-0.029750055782530878,0.00904405578253107,0.014142411991514257,-0.03766507194781215,0.01777318305892374
CN,1,announce,2020,21,0.002527190476190538,-0.008021666666666557,-0.0006332380952380047,0.008464803614187232,-0.014063824607616439,0.019118205559997513,0.011217835147515103,-0.030008623555796157,0.013965290222463045,0.015421567266703172,-0.030859509937976225,0.029593033747500212
CN,1,announce,2021,28,0.022066428571428598,-0.0016852857142856596,0.007626714285714259,0.008664733426233865,0.005083551056010223,0.03904930608684697,0.013938213373477797,-0.029004183926302142,0.025633612497730822,0.017237481723603922,-0.026158749892549432,0.04141217846397795
CN,1,announce,2022,28,0.01445657142857141,0.005505571428571403,0.04724199999999997,0.005365818372133095,0.003939567419190545,0.024973575437952276,0.009980220991317037,-0.014055661714409988,0.025066804571552796,0.013438699251271955,0.02090214946750694,0.073581850532493
CN,1,announce,2023,14,0.023515428571428715,0.02226600000000012,0.07003671428571437,0.010753841269091532,0.0024378996840093113,0.044592957458848115,0.01727432192018538,-0.011591670963563228,0.056123670963563466,0.015095049065154917,0.04045041811801073,0.09962301045341801
CN,1,announce,2024,28,0.03140871428571419,0.04421642857142855,0.04802128571428566,0.0056758675818327775,0.02028401382532195,0.04253341474610643,0.007425237569717361,0.029662962934782523,0.05876989420807458,0.009653598560174198,0.029100232536344233,0.06694233889222709
CN,1,announce,2025,18,0.030624777777777747,0.03397016666666661,0.040173166666666635,0.008650150733718416,0.013670482339689653,0.04757907321586584,0.010168426184370577,0.014040051345300276,0.05390028198803294,0.011413000347113032,0.01780368598632509,0.06254264734700818
CN,1,effective,2020,21,-0.003594857142857171,0.011505714285714392,0.022587238095238146,0.005715482612745709,-0.01479720306383876,0.00760748877812442,0.012072392081017867,-0.012156174193080628,0.03516760276450941,0.014410387721875646,-0.0056571218396381205,0.05083159803011442
CN,1,effective,2021,28,0.013248428571428553,-0.001587428571428561,-0.0005052857142856538,0.008253063375689304,-0.0029275756449224817,0.02942443278777959,0.009593202622931805,-0.0203901057123749,0.017215248569517776,0.014934102352546707,-0.029776126325277198,0.028765554896705892
CN,1,effective,2022,28,0.00496771428571429,-0.03960985714285703,0.0113038571428572,0.010589214512997054,-0.015787146159759936,0.025722574731188518,0.013171874024075774,-0.06542673023004555,-0.013792984055668513,0.01974296836085334,-0.027392360844415348,0.050000075130129745
CN,1,effective,2023,14,0.0308601428571428,0.02777528571428563,0.04105628571428565,0.01540069023815545,0.0006747899903581205,0.06104549572392748,0.015019792279708392,-0.0016635071539428184,0.05721407858251408,0.016740077780035313,0.008245733265416437,0.07386683816315487
