market,event_phase,turnover_coef,turnover_t,turnover_p,volume_coef,volume_t,volume_p,turnover_sig,volume_sig,both_channels_sig
CN,announce,0.0015342317858582678,2.9101726643300987,0.0036122913387077508,14611403.948015448,1.9693127812834252,0.048917184364644185,True,True,True
CN,effective,0.0013801523229083797,2.567623414133032,0.010239833171360218,12699812.241009407,2.4347163401210272,0.014903467826035709,True,True,True
US,announce,0.029648375343243417,20.302963629472014,1.2105899066273177e-91,8625333.45136677,8.609106683835577,7.363210135899924e-18,True,True,True
US,effective,0.0026543007744772853,1.9725728946945948,0.04854424369217653,528680.6397986969,0.7192488042832963,0.47198763371166064,True,False,False
