market,event_phase,inclusion,n_events,mean_turnover_change,mean_volume_change,mean_volatility_change
CN,announce,0,121,-0.0007472756402458825,-0.0250530006323232,-0.0043625867319767525
CN,announce,1,118,0.00027629986711867426,0.06028541096952985,-0.0030163601771570825
CN,effective,0,121,0.002483012046738122,0.12378571612618355,-0.0003925617904707001
CN,effective,1,118,0.0009678401259377177,0.08992107995451802,0.00110201741623604
US,announce,0,293,0.02500488286283719,0.43953943781965576,0.0003997752355659745
US,announce,1,318,0.028861114228256775,1.4946898341223513,0.0055035426686191324
US,effective,0,293,-0.04318854315705467,-1.060571841040787,-0.001760634651771295
US,effective,1,318,-0.024012441142158853,-0.5663241842651391,0.00017211277565851738
