market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,t_stat,p_value
CN,announce,1,"[-1,+1]",m1_p1,3,0.0119705310146652,0.0304489965820213,0.6809277887081974,0.5661791328886949
CN,announce,1,"[-3,+3]",m3_p3,3,0.0037061851525269,0.0262901572014939,0.244171266730552,0.8298621080636861
CN,announce,1,"[-5,+5]",m5_p5,3,0.0563570478118383,0.0306602389992794,3.183708717240806,0.0861066413649025
CN,effective,1,"[-1,+1]",m1_p1,3,0.0430210600159942,0.0223382532600372,3.335742543329354,0.0793239801023672
CN,effective,1,"[-3,+3]",m3_p3,3,0.0119653668501439,0.0252890462648402,0.8195098818124829,0.4986179679146071
CN,effective,1,"[-5,+5]",m5_p5,3,0.0284614957080489,0.0037736879159442,13.063283907887572,0.0058089574476278
US,announce,1,"[-1,+1]",m1_p1,3,0.041668253545668,0.0115732372809684,6.236071243647711,0.0247633146447017
US,announce,1,"[-3,+3]",m3_p3,3,0.0424821678481787,0.0200639655933918,3.667334495078518,0.0669701768204637
US,announce,1,"[-5,+5]",m5_p5,3,0.0726540730285488,0.0572988320891106,2.196214848961669,0.1592329335617167
US,effective,1,"[-1,+1]",m1_p1,3,0.0786929355695245,0.0292841711492607,4.654397145421728,0.0431921104754499
US,effective,1,"[-3,+3]",m3_p3,3,0.0639010857919272,0.0190057263429511,5.823504203588861,0.0282437692755206
US,effective,1,"[-5,+5]",m5_p5,3,0.080325904633314,0.0534844735878274,2.6012885358283984,0.1214420687469826
