outcome,bandwidth,n_obs,n_left,n_right,tau,std_error,t_stat,p_value,r_squared,intercept,running_slope,interaction_slope,spec,spec_kind,donut_radius,cutoff_shift,polynomial_order
car_m1_p1,0.060000000000002274,120,42,78,0.039187962856625624,0.01984866116638781,1.9743378421405795,0.0483433406989583,0.037803984200875385,-0.01581380177656924,-0.7277924056164767,0.5104432832806027,main · 局部线性,main,,,
car_m1_p1,0.060000000000002274,102,34,68,0.049268294313920616,0.030117481886540735,1.6358703061406414,0.10186673377004513,0.033173991163312655,-0.020988802978553663,-0.8476345387150461,0.529402209241667,donut(±0.01),donut,0.01,,
car_m1_p1,0.060000000000002274,72,30,42,-0.024432753796556628,0.021665734100709003,-1.1277140983539107,0.2594406816330439,0.07232957272528662,0.014149906774887698,-0.36120378541732356,0.757470818548911,placebo cutoff -0.05,placebo,,-0.05,
car_m1_p1,0.060000000000002274,130,54,76,-0.0198355326634784,0.014930066233984036,-1.3285629382091064,0.18399220620809265,0.015750157942066023,0.026130972275305253,0.37685795220653673,-0.3381042273018855,placebo cutoff +0.05,placebo,,0.05,
car_m1_p1,0.060000000000002274,120,42,78,0.0036506904916576675,0.03665703522079612,0.0995904461358777,0.9206694789945862,0.05040267137386345,,,,polynomial order=2,polynomial,,,2.0
