market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[-5,+5]",m5_p5,117,-0.011116897583161311,0.0645063954947322,0.005963618373118364,-0.022805589594473305,0.000571794428150682,-1.8641195475002044,0.06483308552843485
CN,announce,0,"[-3,+3]",m3_p3,117,-0.01166353370906397,0.043480947156889924,0.004019814986664276,-0.01954237108292595,-0.0037846963352019883,-2.901510081373821,0.004444801475165573
CN,announce,0,"[-1,+1]",m1_p1,117,-0.005865571310062137,0.030432956692218543,0.002813527841481254,-0.011380085879365395,-0.00035105674075887935,-2.08477457503106,0.03928397932700955
CN,announce,1,"[-5,+5]",m5_p5,117,0.031074897553685255,0.07049767725123027,0.006517512567446716,0.01830057292148969,0.04384922218588082,4.76790757702506,5.452210743129025e-06
CN,announce,1,"[-3,+3]",m3_p3,117,0.01034731009559272,0.05522824451498323,0.005105853011606022,0.0003398381928449157,0.020354781998340524,2.0265585538934308,0.045001032728832595
CN,announce,1,"[-1,+1]",m1_p1,117,0.017619424194638397,0.038646342489743586,0.0035728556270746958,0.010616627165571994,0.0246222212237048,4.931468280195928,2.7479893106073897e-06
CN,effective,0,"[-5,+5]",m5_p5,117,0.007708177357534769,0.07432074913404224,0.006870955688043209,-0.00575889579102992,0.02117525050609946,1.1218493769285234,0.26424334456519666
CN,effective,0,"[-3,+3]",m3_p3,117,0.004602754355183076,0.061173442774512754,0.005655486785132508,-0.00648199974367664,0.015687508454042792,0.8138564424344656,0.4173946872731748
CN,effective,0,"[-1,+1]",m1_p1,117,0.0031819291128131004,0.04412606476248634,0.004079456130399723,-0.004813804902770355,0.011177663128396556,0.7799885600194753,0.43698621381656616
CN,effective,1,"[-5,+5]",m5_p5,117,0.00699881047506854,0.07515871952827594,0.00694842607839527,-0.006620104638586188,0.020617725588723268,1.007251195609597,0.3159105452148779
CN,effective,1,"[-3,+3]",m3_p3,117,-0.009750382240933404,0.05797637406787286,0.005359917678646059,-0.02025582089107968,0.0007550564092128724,-1.8191291033776469,0.07147113853517253
CN,effective,1,"[-1,+1]",m1_p1,117,0.004197615062544006,0.04890018547023543,0.004520823745964948,-0.004663199479547293,0.013058429604635304,0.9285066833871986,0.3550728510900499
US,announce,0,"[-5,+5]",m5_p5,116,-0.007315262581917459,0.10174059877243306,0.009446377447691353,-0.02583016237939251,0.011199637215557594,-0.7743987176486657,0.4402842629873296
US,announce,0,"[-3,+3]",m3_p3,116,-0.006272466579600875,0.0947818266596861,0.00880027167730456,-0.023520999067117812,0.010976065907916062,-0.7127582885625268,0.47743907567826843
US,announce,0,"[-1,+1]",m1_p1,116,0.000505493163904661,0.08679178233814708,0.00805841468613565,-0.015288999620921213,0.016299985948730535,0.06272861146924501,0.9500915117001826
US,announce,1,"[-5,+5]",m5_p5,256,0.01319481536093962,0.08539557380898107,0.005337223363061317,0.0027338575693394394,0.0236557731525398,2.4722246875145504,0.014080748107378707
US,announce,1,"[-3,+3]",m3_p3,255,0.014131891364803553,0.07380098405096615,0.00462159689187027,0.005073561456737824,0.02319022127286928,3.0577940256240423,0.0024680678948835826
US,announce,1,"[-1,+1]",m1_p1,254,0.01842485605989766,0.05595546953167246,0.003510958418687924,0.01154337755926933,0.02530633456052599,5.2478138054346966,3.2584797816542643e-07
US,effective,0,"[-5,+5]",m5_p5,116,-0.006735909712122593,0.0916470798027231,0.008509217738452963,-0.0234139764794904,0.009942157055245215,-0.7916015219217118,0.4302227891698954
US,effective,0,"[-3,+3]",m3_p3,116,0.006569459747094309,0.0998373405342556,0.009269664356603041,-0.011599082391847652,0.02473800188603627,0.7087052448036806,0.47994158608599685
US,effective,0,"[-1,+1]",m1_p1,113,-0.00650037012197032,0.06726727628405857,0.006327973055973894,-0.01890319731167915,0.005902457067738512,-1.0272436472898183,0.3065191863629275
US,effective,1,"[-5,+5]",m5_p5,258,-1.4121041196636125e-05,0.08153062408710758,0.005075874944257519,-0.009962835931941371,0.0099345938495481,-0.0027819915485923583,0.9977824529604751
US,effective,1,"[-3,+3]",m3_p3,258,-0.0006718353567529296,0.06542774028672463,0.004073353188440626,-0.008655607606096558,0.007311936892590698,-0.1649342263419401,0.8691254079938606
US,effective,1,"[-1,+1]",m1_p1,257,-0.0014269208194856828,0.04487598340558252,0.0027992869343685593,-0.006913523210848059,0.004059681571876693,-0.5097443931047233,0.6106697033233801
