market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
US,effective,main_car,car_m1_p1,log_mkt_cap,0.0022751063242148597,0.0028713165302260446,0.7923565027627768,0.4281528343851553
US,effective,main_car,car_m1_p1,pre_event_return,-0.013316677093244883,0.015470918559927563,-0.8607554258437796,0.38937275948653227
US,effective,turnover_mechanism,turnover_change,const,-0.04190333017714596,0.02575803202733398,-1.6268063543316846,0.10377823165402864
US,effective,turnover_mechanism,turnover_change,treatment_group,-0.027832744796854658,0.001981686061165686,-14.044981867855808,8.268954763312923e-45
US,effective,turnover_mechanism,turnover_change,log_mkt_cap,0.0017506837095635547,0.0011116043157471359,1.5749162582072904,0.11527577536357937
US,effective,turnover_mechanism,turnover_change,pre_event_return,-0.0076916279650276155,0.006429853296900167,-1.196236929501292,0.23160411335700037
US,effective,volume_mechanism,volume_change,const,-0.38321340719242514,0.8809154072098406,-0.4350172605178886,0.6635498988373784
US,effective,volume_mechanism,volume_change,treatment_group,-0.5659026821882086,0.08711447833102215,-6.496080709315184,8.243944199291998e-11
US,effective,volume_mechanism,volume_change,log_mkt_cap,0.011827472421860082,0.0381528890782202,0.3100020131532284,0.756559425448612
US,effective,volume_mechanism,volume_change,pre_event_return,-0.5041571429623377,0.18208336245770387,-2.7688259715626042,0.005625867651774624
US,effective,volatility_mechanism,volatility_change,const,-0.027956067739867866,0.02742419084245575,-1.019394442682652,0.30801574341894955
US,effective,volatility_mechanism,volatility_change,treatment_group,0.00033472978272328427,0.0011795687283373743,0.28377302202228827,0.7765843302889361
US,effective,volatility_mechanism,volatility_change,log_mkt_cap,0.0012030958174519787,0.001183410440444987,1.0166344459489385,0.3093273613680284
US,effective,volatility_mechanism,volatility_change,pre_event_return,-0.02074347400497967,0.006053179300262337,-3.4268725534167928,0.0006105755632703659
