market,metric,mean,median,se,t,p_value,n_events
CN,gap_length_days,14.0,14.0,0.0,,,137
CN,pre_announce_runup,0.030905284356766274,0.0,0.010113558335110712,3.0558269733288643,0.0022444073521772356,118
CN,announce_jump,0.017470107040446547,0.01586997329387925,0.003545593317447424,4.927273230823829,8.338511237049318e-07,118
CN,gap_drift,0.0075776939301470106,-0.0012039250681285477,0.007317912436186184,1.0354993990740091,0.30043574693300856,118
CN,effective_jump,0.0041620420535393955,-0.0016696837731468997,0.004482489106379573,0.9285113593730523,0.35314237818462635,118
CN,post_effective_reversal,-0.017972860112148444,-0.01683381956446135,0.009192691585934425,-1.9551248885199628,0.05056833129218652,118
US,gap_length_days,7.087774294670846,7.0,0.2850677148606044,24.863476027570172,0.0,319
US,pre_announce_runup,0.02593416361676519,0.005108890004473797,0.004814187335237402,5.3870283416144416,7.163214221783676e-08,318
US,announce_jump,0.01471670892834593,0.0,0.002833775022031387,5.193322975158515,2.06573360861384e-07,318
US,gap_drift,-0.0033093526685691733,0.0,0.002743655273011454,-1.2061838457339453,0.227746611246602,318
US,effective_jump,-0.0011532033037981774,0.0,0.002261689828738273,-0.5098857010121117,0.6101315401432013,318
US,post_effective_reversal,-0.006841912314485433,0.0,0.004256024542988909,-1.607582908739646,0.10792655790168881,318
