market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[-5,+5]",m5_p5,baseline,117,-0.011116897583161303,0.06450639549473218,0.005963618373118362,-0.02280558959447329,0.0005717944281506872,-1.8641195475002035,0.064833085528435
CN,announce,0,"[-3,+3]",m3_p3,baseline,117,-0.011663533709063967,0.043480947156889896,0.004019814986664274,-0.019542371082925943,-0.0037846963352019918,-2.9015100813738224,0.004444801475165563
CN,announce,0,"[-1,+1]",m1_p1,baseline,117,-0.00586557131006213,0.030432956692218537,0.0028135278414812533,-0.011380085879365386,-0.0003510567407588733,-2.084774575031058,0.0392839793270098
CN,announce,1,"[-5,+5]",m5_p5,baseline,117,0.031074897553685248,0.07049767725123024,0.006517512567446713,0.01830057292148969,0.043849222185880804,4.767907577025062,5.452210743128993e-06
CN,announce,1,"[-3,+3]",m3_p3,baseline,117,0.0103473100955927,0.05522824451498321,0.00510585301160602,0.0003398381928449018,0.0203547819983405,2.026558553893428,0.04500103272883295
CN,announce,1,"[-1,+1]",m1_p1,baseline,117,0.017619424194638394,0.03864634248974357,0.0035728556270746945,0.010616627165571994,0.024622221223704794,4.931468280195928,2.7479893106073897e-06
CN,effective,0,"[-5,+5]",m5_p5,baseline,117,0.007708177357534776,0.07432074913404223,0.006870955688043208,-0.005758895791029912,0.021175250506099464,1.1218493769285247,0.26424334456519605
CN,effective,0,"[-3,+3]",m3_p3,baseline,117,0.004602754355183079,0.06117344277451273,0.005655486785132506,-0.006481999743676634,0.015687508454042792,0.8138564424344664,0.41739468727317447
CN,effective,0,"[-1,+1]",m1_p1,baseline,117,0.0031819291128131,0.044126064762486324,0.004079456130399722,-0.004813804902770354,0.011177663128396555,0.7799885600194754,0.43698621381656616
CN,effective,1,"[-5,+5]",m5_p5,baseline,117,0.006998810475068539,0.07515871952827592,0.006948426078395268,-0.0066201046385861865,0.020617725588723265,1.007251195609597,0.3159105452148779
CN,effective,1,"[-3,+3]",m3_p3,baseline,117,-0.009750382240933405,0.057976374067872836,0.005359917678646057,-0.020255820891079676,0.0007550564092128672,-1.8191291033776478,0.07147113853517242
CN,effective,1,"[-1,+1]",m1_p1,baseline,117,0.004197615062544008,0.048900185470235405,0.004520823745964946,-0.004663199479547287,0.013058429604635304,0.9285066833871997,0.35507285109004927
US,announce,0,"[-5,+5]",m5_p5,baseline,116,-0.00731526258191746,0.10174059877243305,0.009446377447691352,-0.025830162379392507,0.01119963721555759,-0.774398717648666,0.4402842629873294
US,announce,0,"[-3,+3]",m3_p3,baseline,116,-0.0062724665796008786,0.0947818266596861,0.00880027167730456,-0.023520999067117816,0.010976065907916058,-0.7127582885625273,0.477439075678268
US,announce,0,"[-1,+1]",m1_p1,baseline,116,0.0005054931639046505,0.08679178233814706,0.008058414686135648,-0.01528899962092122,0.01629998594873052,0.0627286114692437,0.9500915117001836
US,announce,1,"[-5,+5]",m5_p5,baseline,256,0.013194815360939617,0.08539557380898105,0.005337223363061316,0.0027338575693394377,0.023655773152539798,2.47222468751455,0.014080748107378725
US,announce,1,"[-3,+3]",m3_p3,baseline,255,0.01413189136480355,0.07380098405096612,0.004621596891870268,0.005073561456737825,0.023190221272869276,3.057794025624043,0.0024680678948835826
US,announce,1,"[-1,+1]",m1_p1,baseline,254,0.018424856059897656,0.05595546953167245,0.0035109584186879235,0.011543377559269326,0.025306334560525987,5.2478138054346966,3.2584797816542643e-07
US,effective,0,"[-5,+5]",m5_p5,baseline,116,-0.006735909712122577,0.09164707980272309,0.008509217738452961,-0.02341397647949038,0.009942157055245225,-0.7916015219217103,0.43022278916989637
US,effective,0,"[-3,+3]",m3_p3,baseline,116,0.006569459747094311,0.09983734053425558,0.00926966435660304,-0.011599082391847648,0.024738001886036268,0.7087052448036807,0.47994158608599685
US,effective,0,"[-1,+1]",m1_p1,baseline,113,-0.006500370121970317,0.06726727628405856,0.006327973055973892,-0.018903197311679144,0.005902457067738512,-1.027243647289818,0.30651918636292763
US,effective,1,"[-5,+5]",m5_p5,baseline,258,-1.4121041196640643e-05,0.08153062408710757,0.005075874944257518,-0.009962835931941375,0.009934593849548094,-0.0027819915485932495,0.9977824529604744
US,effective,1,"[-3,+3]",m3_p3,baseline,258,-0.0006718353567529352,0.06542774028672461,0.004073353188440625,-0.008655607606096561,0.00731193689259069,-0.16493422634194152,0.8691254079938595
US,effective,1,"[-1,+1]",m1_p1,baseline,257,-0.0014269208194856852,0.04487598340558251,0.002799286934368559,-0.00691352321084806,0.00405968157187669,-0.5097443931047243,0.6106697033233796
CN,announce,0,"[0,+5]",p0_p5,baseline,117,-0.010136895919474026,0.04511369378899725,0.0041707624662002795,-0.018311590353226576,-0.001962201485721479,-2.4304658924172964,0.016611166857269245
CN,announce,0,"[0,+20]",p0_p20,baseline,117,-0.004700323066425426,0.09656695096781881,0.008927617775120194,-0.022198453905661008,0.012797807772810154,-0.5264924176664971,0.5995513853617747
CN,announce,0,"[0,+60]",p0_p60,baseline,117,0.004400975629149599,0.1724494638720836,0.01594295857479672,-0.026847223177451973,0.03564917443575117,0.2760451021999669,0.7830046131010403
CN,announce,0,"[0,+120]",p0_p120,baseline,117,0.08534466006393243,0.27699690492467044,0.025608372919249302,0.0351522491422038,0.13553707098566106,3.332685771682923,0.0011546920948883196
CN,announce,1,"[0,+5]",p0_p5,baseline,117,0.026718321828495657,0.06444845280426785,0.005958261569489965,0.015040129152295327,0.038396514504695986,4.484247882857344,1.730260736962803e-05
CN,announce,1,"[0,+20]",p0_p20,baseline,117,0.018379990472335222,0.1114629236236435,0.010304750934312129,-0.0018173213589165495,0.038577302303587,1.7836423790830938,0.07709667590852025
CN,announce,1,"[0,+60]",p0_p60,baseline,117,0.027583278312353715,0.17904896665235873,0.01655308282266465,-0.004860764020068999,0.06002732064477643,1.666352945119468,0.09834123135261215
CN,announce,1,"[0,+120]",p0_p120,baseline,117,0.015629484878666514,0.2562390680394345,0.023689310220340692,-0.03080156315320124,0.06206053291053427,0.6597695219190614,0.5107095668903934
CN,effective,0,"[0,+5]",p0_p5,baseline,117,0.006003155531358274,0.053934451337482855,0.004986241790033635,-0.0037698783771076506,0.015776189439824197,1.2039439289440832,0.23106224493386943
CN,effective,0,"[0,+20]",p0_p20,baseline,117,0.009033078366256607,0.09504216892591073,0.008786651625479008,-0.008188758819682248,0.02625491555219546,1.0280455799639334,0.3060672847390969
CN,effective,0,"[0,+60]",p0_p60,baseline,117,0.04039424883184743,0.1910626034633824,0.017663743938740227,0.005773310711916585,0.07501518695177828,2.28684524480988,0.024018667824932362
CN,effective,0,"[0,+120]",p0_p120,baseline,117,0.09369297202460446,0.279019871358516,0.025795396232217837,0.0431339954094575,0.1442519486397514,3.6321586682039086,0.0004198848827720206
CN,effective,1,"[0,+5]",p0_p5,baseline,117,-0.004944854106224806,0.05614551095945943,0.005190654324396316,-0.015118536582041583,0.005228828369591972,-0.9526456198371296,0.34275049817040804
CN,effective,1,"[0,+20]",p0_p20,baseline,117,-0.013719403116178745,0.1021836488191281,0.009446881675163376,-0.03223529119949896,0.004796484967141471,-1.4522679110344079,0.14912663587130628
CN,effective,1,"[0,+60]",p0_p60,baseline,117,-0.018197314275686577,0.17304651408891075,0.015998155886868443,-0.04955369981394873,0.013159071262575574,-1.1374632429118434,0.25768873981369017
CN,effective,1,"[0,+120]",p0_p120,baseline,117,-0.0018208182563011794,0.2535244821353109,0.023438346664726092,-0.047759977719164314,0.04411834120656196,-0.07768543926528096,0.9382121178760022
US,announce,0,"[0,+5]",p0_p5,baseline,115,0.002586314627094807,0.053106493089729395,0.004952206015495366,-0.007120009163276111,0.012292638417465723,0.5222550554242441,0.602506127561718
US,announce,0,"[0,+20]",p0_p20,baseline,115,0.008410276341566455,0.1398059518283026,0.013036972230050587,-0.017142189229332694,0.03396274191246561,0.6451096307607784,0.5201523323905208
US,announce,0,"[0,+60]",p0_p60,baseline,115,0.008823322333676902,0.23807599623941,0.02220070112198527,-0.034690051865414226,0.052336696532768026,0.39743440016582177,0.6917903185251779
US,announce,0,"[0,+120]",p0_p120,baseline,116,0.054277104986383023,0.3511925586783667,0.03260741047452172,-0.009633419543679536,0.11818762951644558,1.664563490216227,0.09872226056519175
US,announce,1,"[0,+5]",p0_p5,baseline,256,0.007905864743435227,0.07255650113945607,0.004534781321216004,-0.0009823066461481407,0.016794036133018594,1.7433838995604014,0.08247181880658526
US,announce,1,"[0,+20]",p0_p20,baseline,258,0.002632971081661141,0.09940422360808915,0.006188636645619127,-0.009496756743752346,0.014762698907074628,0.4254525241072272,0.6708628642521267
US,announce,1,"[0,+60]",p0_p60,baseline,258,0.004754136152691414,0.1665534145319504,0.010369162669477797,-0.015569422679485068,0.025077694984867897,0.45848795165355805,0.6469893849293806
US,announce,1,"[0,+120]",p0_p120,baseline,258,0.019609251516672786,0.2003972286523609,0.012476186502980685,-0.004844074029169358,0.04406257706251493,1.5717344007311802,0.11724245008111732
