event_id,status,selected_controls,sector_relaxed,sector_filter_mode
US-s-p500-smci-20240301-20240318-add-01,matched,3,True,penalized
US-s-p500-sndk-20160510-20160513-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-sndk-20251125-20251128-add-02,matched,3,True,penalized
US-s-p500-sni-20180302-20180307-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-snps-20170313-20170316-add-01,matched,3,True,penalized
US-s-p500-sols-20251030-20251030-add-01,matched,3,True,penalized
US-s-p500-sols-20251205-20251222-del-02,matched,3,True,penalized
US-s-p500-solv-20240327-20240401-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-spls-20170824-20170918-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-srcl-20181126-20181203-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-ste-20191213-20191223-add-01,matched,3,True,penalized
US-s-p500-sti-20191202-20191209-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-stj-20170103-20170105-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-stld-20221219-20221222-add-01,matched,3,False,penalized
US-s-p500-str-20100623-20100630-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-stx-20120625-20120702-add-01,matched,3,True,penalized
US-s-p500-sun-20121001-20121010-del-01,matched,3,True,penalized
US-s-p500-svu-20120423-20120423-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-swks-20150309-20150312-add-01,matched,3,True,penalized
US-s-p500-swn-20170328-20170404-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-swy-20150123-20150127-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-syf-20151109-20151118-add-01,matched,3,True,penalized
US-s-p500-tdc-20170609-20170619-del-01,matched,3,True,penalized
US-s-p500-tdg-20160527-20160603-add-01,matched,3,True,penalized
US-s-p500-tdy-20200612-20200622-add-01,matched,3,True,penalized
US-s-p500-te-20160623-20160701-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tech-20210824-20210830-add-01,matched,3,True,penalized
US-s-p500-teg-20150629-20150701-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tel-20111011-20111014-add-01,matched,3,True,penalized
US-s-p500-ter-20131211-20131223-del-01,matched,3,True,penalized
US-s-p500-ter-20200904-20200921-add-02,matched,3,True,penalized
US-s-p500-tfx-20190115-20190118-add-01,matched,3,True,penalized
US-s-p500-tfx-20250307-20250324-del-02,matched,3,True,penalized
US-s-p500-tgna-20170524-20170602-del-01,matched,3,True,penalized
US-s-p500-thc-20160407-20160418-del-01,matched,3,True,penalized
US-s-p500-tie-20121218-20121221-del-01,skipped_missing_target_snapshot,0,,
US-s-p500-tif-20201230-20210107-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tko-20250307-20250324-add-01,matched,3,True,penalized
US-s-p500-tlab-20111220-20111220-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tmus-20190709-20190715-add-01,matched,3,True,penalized
US-s-p500-tpl-20241121-20241126-add-01,matched,3,True,penalized
US-s-p500-trgp-20221006-20221012-add-01,matched,3,True,penalized
US-s-p500-trip-20111220-20111220-add-01,matched,3,True,penalized
US-s-p500-trip-20191213-20191223-del-02,matched,3,True,penalized
US-s-p500-trmb-20210115-20210121-add-01,matched,3,True,penalized
US-s-p500-tsco-20140116-20140124-add-01,matched,3,True,penalized
US-s-p500-tsla-20201211-20201221-add-01,matched,3,True,penalized
US-s-p500-tss-20190917-20190923-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-ttd-20250714-20250718-add-01,matched,3,True,penalized
US-s-p500-ttwo-20180309-20180319-add-01,matched,3,True,penalized
US-s-p500-twc-20160513-20160518-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-twtr-20180604-20180607-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-twtr-20221027-20221101-del-02,skipped_no_valid_match,0,True,penalized
US-s-p500-twx-20180615-20180620-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tyc-20100819-20100826-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-tyc-20160825-20160906-del-02,skipped_no_valid_match,0,True,penalized
US-s-p500-tyl-20200612-20200622-add-01,matched,3,True,penalized
US-s-p500-ua-20140424-20140501-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-ua-20160408-20160408-add-02,matched,3,True,penalized
US-s-p500-uaa-20220603-20220621-del-01,matched,3,True,penalized
US-s-p500-ual-20150827-20150902-add-01,matched,3,True,penalized
US-s-p500-uber-20231201-20231218-add-01,matched,3,True,penalized
US-s-p500-udr-20160304-20160307-add-01,matched,3,True,penalized
US-s-p500-uhs-20140920-20140920-add-01,matched,3,True,penalized
US-s-p500-ulta-20160407-20160418-add-01,matched,3,True,penalized
US-s-p500-unm-20210903-20210920-del-01,matched,3,True,penalized
US-s-p500-urbn-20170310-20170320-del-01,matched,3,True,penalized
US-s-p500-uri-20140912-20140920-add-01,matched,3,True,penalized
US-s-p500-var-20210415-20210420-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-viab-20191127-20191205-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-vici-20220603-20220608-add-01,matched,3,True,penalized
US-s-p500-vlto-20230928-20231002-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-vnt-20201005-20201009-add-01,matched,3,True,penalized
US-s-p500-vnt-20210312-20210322-del-02,matched,3,True,penalized
US-s-p500-vrsk-20150930-20151007-add-01,matched,3,True,penalized
US-s-p500-vrtx-20130911-20130920-add-01,matched,3,True,penalized
US-s-p500-vst-20240503-20240508-add-01,matched,3,True,penalized
US-s-p500-wab-20190221-20190227-add-01,matched,3,True,penalized
US-s-p500-wba-20250825-20250828-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-wbd-20220407-20220411-add-01,matched,3,True,penalized
US-s-p500-wcg-20180911-20180914-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-wcg-20200122-20200128-del-02,skipped_no_valid_match,0,True,penalized
US-s-p500-wday-20241206-20241223-add-01,matched,3,True,penalized
US-s-p500-wfm-20170824-20170829-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-wfr-20111216-20111216-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-whr-20240301-20240318-del-01,matched,3,True,penalized
US-s-p500-win-20150330-20150407-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-wltw-20151228-20160105-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-wpx-20111211-20111231-add-01,skipped_no_valid_match,0,True,penalized
