event_id,matched_to_event_id,market,index_name,event_ticker,security_name,event_phase,event_type,inclusion,treatment_group,batch_id,announce_date,effective_date,event_date,sector,car_m1_p1,car_m3_p3,car_m5_p5,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
CN-csi300-000069-20240531-20240614-del-01-ctrl-02,CN-csi300-000069-20240531-20240614-del-01,CN,CSI300,002252,华侨城A,effective,deletion,0,0,csi300-2024-05,2024-05-31,2024-06-14,2024-06-14,房地产业,0.0557242382650518,0.040227184931986106,0.06841659058974539,0.009794640547257316,24.617554279217476,0.0008032168215888679,0.116721275699458,0.00138435499015949
CN-csi300-000069-20240531-20240614-del-01-ctrl-03,CN-csi300-000069-20240531-20240614-del-01,CN,CSI300,002049,华侨城A,announce,deletion,0,0,csi300-2024-05,2024-05-31,2024-06-14,2024-05-31,房地产业,0.028202942023961702,0.0639934513062928,0.015021962080373295,-0.0597771326790576,24.579930530958187,0.004991120511096264,0.22197678514219987,-0.0019679854417400146
CN-csi300-000069-20240531-20240614-del-01-ctrl-03,CN-csi300-000069-20240531-20240614-del-01,CN,CSI300,002049,华侨城A,effective,deletion,0,0,csi300-2024-05,2024-05-31,2024-06-14,2024-06-14,房地产业,0.013336953827540101,-0.0010045997195304985,-0.0308143312613911,-0.0324232848528162,24.62984893189824,-0.007342243231221256,-0.2627844982758738,0.0028297369483716705
CN-csi300-000301-20211126-20211210-add-01,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000301,东方盛虹,announce,addition,1,1,csi300-2021-11,2021-11-26,2021-12-10,2021-11-26,化学原料和化学制品制造业,0.0479305282095785,0.041020215074569495,0.054254497259751386,-0.1681801464680902,25.74317255966492,-0.00023476083296500218,-0.03151458907805349,-0.0032635889708893945
CN-csi300-000301-20211126-20211210-add-01,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000301,东方盛虹,effective,addition,1,1,csi300-2021-11,2021-11-26,2021-12-10,2021-12-10,化学原料和化学制品制造业,0.0300662341801312,0.019845188202102595,-0.031404594170160005,0.06537421196002002,25.774552721446018,-0.0003073321165159449,-0.04206068463868817,-0.013913964371583588
CN-csi300-000301-20211126-20211210-add-01-ctrl-01,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000063,东方盛虹,announce,addition,1,0,csi300-2021-11,2021-11-26,2021-12-10,2021-11-26,化学原料和化学制品制造业,-0.038283344687831095,-0.0327206174886501,-0.040332596578027395,-0.02427188139505765,25.759169065817378,0.00038970179529777913,0.054497442112175776,0.0038880471205008354
CN-csi300-000301-20211126-20211210-add-01-ctrl-01,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000063,东方盛虹,effective,addition,1,0,csi300-2021-11,2021-11-26,2021-12-10,2021-12-10,化学原料和化学制品制造业,0.0354505572703397,0.0534157312153587,0.046038287386665405,-0.006842907239431484,25.7519916425356,0.002977426004642141,0.3505105660603647,0.002712705607652006
CN-csi300-000301-20211126-20211210-add-01-ctrl-02,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000625,东方盛虹,announce,addition,1,0,csi300-2021-11,2021-11-26,2021-12-10,2021-11-26,化学原料和化学制品制造业,0.002559148339251799,-0.051293993835906396,-0.05231154846318439,-0.07573332438259073,25.60717999939927,-0.008613230580131376,-0.5397488771761836,-0.00960108863159976
CN-csi300-000301-20211126-20211210-add-01-ctrl-02,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000625,东方盛虹,effective,addition,1,0,csi300-2021-11,2021-11-26,2021-12-10,2021-12-10,化学原料和化学制品制造业,-0.00042647015187549826,-0.0172886075880583,-0.03937456086578651,-0.14586323973135829,25.637304446926514,-0.0011637470675985185,-0.10203926414418873,0.001475703296524803
CN-csi300-000301-20211126-20211210-add-01-ctrl-03,CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000338,东方盛虹,announce,addition,1,0,csi300-2021-11,2021-11-26,2021-12-10,2021-11-26,化学原料和化学制品制造业,-0.0356802643299841,0.0231529790191609,0.12524336880736653,0.04581672516211843,25.644853167158903,0.00698501889465911,0.4722794516296567,0.012274550629265125
