market,index_name,ticker,announce_date,effective_date,batch_id,security_name,event_type,inclusion,source,source_url,note,sector
CN,CSI300,000413,2020-06-01,2020-06-15,csi300-2020-06,东旭光电,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000415,2020-06-01,2020-06-15,csi300-2020-06,渤海租赁,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000423,2020-06-01,2020-06-15,csi300-2020-06,东阿阿胶,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000629,2020-06-01,2020-06-15,csi300-2020-06,攀钢钒钛,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000630,2020-06-01,2020-06-15,csi300-2020-06,铜陵有色,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000898,2020-06-01,2020-06-15,csi300-2020-06,鞍钢股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002010,2020-06-01,2020-06-15,csi300-2020-06,传化智联,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002081,2020-06-01,2020-06-15,csi300-2020-06,金螳螂,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002294,2020-06-01,2020-06-15,csi300-2020-06,信立泰,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002411,2020-06-01,2020-06-15,csi300-2020-06,延安必康,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300017,2020-06-01,2020-06-15,csi300-2020-06,网宿科技,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300024,2020-06-01,2020-06-15,csi300-2020-06,机器人,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300070,2020-06-01,2020-06-15,csi300-2020-06,碧水源,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600023,2020-06-01,2020-06-15,csi300-2020-06,浙能电力,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600100,2020-06-01,2020-06-15,csi300-2020-06,同方股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600153,2020-06-01,2020-06-15,csi300-2020-06,建发股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600535,2020-06-01,2020-06-15,csi300-2020-06,天士力,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600566,2020-06-01,2020-06-15,csi300-2020-06,济川药业,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600663,2020-06-01,2020-06-15,csi300-2020-06,陆家嘴,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600733,2020-06-01,2020-06-15,csi300-2020-06,北汽蓝谷,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600816,2020-06-01,2020-06-15,csi300-2020-06,*ST安信,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000066,2020-06-01,2020-06-15,csi300-2020-06,中国长城,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000708,2020-06-01,2020-06-15,csi300-2020-06,中信特钢,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000860,2020-06-01,2020-06-15,csi300-2020-06,顺鑫农业,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000977,2020-06-01,2020-06-15,csi300-2020-06,浪潮信息,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002129,2020-06-01,2020-06-15,csi300-2020-06,中环股份,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002157,2020-06-01,2020-06-15,csi300-2020-06,正邦科技,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002371,2020-06-01,2020-06-15,csi300-2020-06,北方华创,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002463,2020-06-01,2020-06-15,csi300-2020-06,沪电股份,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,003816,2020-06-01,2020-06-15,csi300-2020-06,中国广核,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300014,2020-06-01,2020-06-15,csi300-2020-06,亿纬锂能,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300601,2020-06-01,2020-06-15,csi300-2020-06,康泰生物,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300628,2020-06-01,2020-06-15,csi300-2020-06,亿联网络,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600745,2020-06-01,2020-06-15,csi300-2020-06,闻泰科技,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601077,2020-06-01,2020-06-15,csi300-2020-06,渝农商行,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601100,2020-06-01,2020-06-15,csi300-2020-06,恒立液压,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601231,2020-06-01,2020-06-15,csi300-2020-06,环旭电子,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601658,2020-06-01,2020-06-15,csi300-2020-06,邮储银行,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601816,2020-06-01,2020-06-15,csi300-2020-06,京沪高铁,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601916,2020-06-01,2020-06-15,csi300-2020-06,浙商银行,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603369,2020-06-01,2020-06-15,csi300-2020-06,今世缘,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603658,2020-06-01,2020-06-15,csi300-2020-06,安图生物,addition,1,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000656,2021-11-26,2021-12-10,csi300-2021-11,金科股份,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000728,2021-11-26,2021-12-10,csi300-2021-11,国元证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000860,2021-11-26,2021-12-10,csi300-2021-11,顺鑫农业,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002153,2021-11-26,2021-12-10,csi300-2021-11,石基信息,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002384,2021-11-26,2021-12-10,csi300-2021-11,东山精密,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002456,2021-11-26,2021-12-10,csi300-2021-11,欧菲光,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002463,2021-11-26,2021-12-10,csi300-2021-11,沪电股份,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002508,2021-11-26,2021-12-10,csi300-2021-11,老板电器,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002558,2021-11-26,2021-12-10,csi300-2021-11,巨人网络,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002673,2021-11-26,2021-12-10,csi300-2021-11,西部证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002739,2021-11-26,2021-12-10,csi300-2021-11,万达电影,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002773,2021-11-26,2021-12-10,csi300-2021-11,康弘药业,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002939,2021-11-26,2021-12-10,csi300-2021-11,长城证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002945,2021-11-26,2021-12-10,csi300-2021-11,华林证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300136,2021-11-26,2021-12-10,csi300-2021-11,信维通信,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600118,2021-11-26,2021-12-10,csi300-2021-11,中国卫星,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600233,2021-11-26,2021-12-10,csi300-2021-11,圆通速递,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600299,2021-11-26,2021-12-10,csi300-2021-11,安迪苏,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600340,2021-11-26,2021-12-10,csi300-2021-11,华夏幸福,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600482,2021-11-26,2021-12-10,csi300-2021-11,中国动力,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600521,2021-11-26,2021-12-10,csi300-2021-11,华海药业,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600522,2021-11-26,2021-12-10,csi300-2021-11,中天科技,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600703,2021-11-26,2021-12-10,csi300-2021-11,三安光电,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600705,2021-11-26,2021-12-10,csi300-2021-11,中航产融,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601077,2021-11-26,2021-12-10,csi300-2021-11,渝农商行,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601555,2021-11-26,2021-12-10,csi300-2021-11,东吴证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601727,2021-11-26,2021-12-10,csi300-2021-11,上海电气,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601872,2021-11-26,2021-12-10,csi300-2021-11,招商轮船,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000301,2021-11-26,2021-12-10,csi300-2021-11,东方盛虹,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002064,2021-11-26,2021-12-10,csi300-2021-11,华峰化学,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002459,2021-11-26,2021-12-10,csi300-2021-11,晶澳科技,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
