batch_id,market,index_name,ticker,security_name,announce_date,effective_date,running_variable,cutoff,inclusion,event_type,source,source_url,note,sector
csi300-2023-05,CN,CSI300,000617,中油资本,2023-05-26,2023-06-09,300.09,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,000983,山西焦煤,2023-05-26,2023-06-09,300.08,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,600732,爱旭股份,2023-05-26,2023-06-09,300.07,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,600754,锦江酒店,2023-05-26,2023-06-09,300.06,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,600875,东方电气,2023-05-26,2023-06-09,300.05,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,601607,上海医药,2023-05-26,2023-06-09,300.04,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,601699,潞安环能,2023-05-26,2023-06-09,300.03,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,601872,招商轮船,2023-05-26,2023-06-09,300.02,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,688223,晶科能源,2023-05-26,2023-06-09,300.01,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-05,CN,CSI300,601916,浙商银行,2023-05-26,2023-06-09,299.99,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 1 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,688063,派能科技,2023-05-26,2023-06-09,299.98,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 2 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,600938,中国海油,2023-05-26,2023-06-09,299.97,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 3 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,688032,禾迈股份,2023-05-26,2023-06-09,299.96,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 4 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,600026,中远海能,2023-05-26,2023-06-09,299.95,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 5 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,002603,以岭药业,2023-05-26,2023-06-09,299.94,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 6 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,003022,联泓新科,2023-05-26,2023-06-09,299.93,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 7 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,603605,珀莱雅,2023-05-26,2023-06-09,299.92,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 8 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,000999,华润三九,2023-05-26,2023-06-09,299.91,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 9 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,688180,君实生物-U,2023-05-26,2023-06-09,299.9,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 10 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,603606,东方电缆,2023-05-26,2023-06-09,299.89,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 11 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,688728,格科微,2023-05-26,2023-06-09,299.88,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 12 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,688122,西部超导,2023-05-26,2023-06-09,299.87,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 13 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,603345,安井食品,2023-05-26,2023-06-09,299.86,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 14 mapped below the CSI300 cutoff.,
csi300-2023-05,CN,CSI300,603688,石英股份,2023-05-26,2023-06-09,299.85,300.0,0,official_reserve_control,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20230526172747-附件：部分指数样本调整名单.pdf,Official reserve-list rank 15 mapped below the CSI300 cutoff.,
csi300-2023-11,CN,CSI300,000999,华润三九,2023-11-24,2023-12-08,300.14,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-11,CN,CSI300,002603,以岭药业,2023-11-24,2023-12-08,300.13,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-11,CN,CSI300,300308,中际旭创,2023-11-24,2023-12-08,300.12,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-11,CN,CSI300,301269,华大九天,2023-11-24,2023-12-08,300.11,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-11,CN,CSI300,600023,浙能电力,2023-11-24,2023-12-08,300.1,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
csi300-2023-11,CN,CSI300,600372,中航机载,2023-11-24,2023-12-08,300.09,300.0,1,official_adjustment_addition,CSIndex official adjustment and reserve attachment,https://oss-ch.csindex.com.cn/notice/20231124170025-附件：部分指数样本调整名单.pdf,Official adjustment-list order mapped to a boundary ordinal running variable.,
