market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
US,effective,main_car,car_m1_p1,pre_event_return,-0.0133166770932448,0.0154709185599275,-0.8607554258437796,0.3893727594865322
US,effective,turnover_mechanism,turnover_change,const,-0.0419033301771459,0.0257580320273339,-1.6268063543316846,0.1037782316540286
US,effective,turnover_mechanism,turnover_change,treatment_group,-0.0278327447968546,0.0019816860611656,-14.044981867855808,8.268954763312923e-45
US,effective,turnover_mechanism,turnover_change,log_mkt_cap,0.0017506837095635,0.0011116043157471,1.5749162582072904,0.1152757753635793
US,effective,turnover_mechanism,turnover_change,pre_event_return,-0.0076916279650276,0.0064298532969001,-1.196236929501292,0.2316041133570003
US,effective,volume_mechanism,volume_change,const,-0.3832134071924251,0.8809154072098406,-0.4350172605178886,0.6635498988373784
US,effective,volume_mechanism,volume_change,treatment_group,-0.5659026821882086,0.0871144783310221,-6.496080709315184,8.243944199291997e-11
US,effective,volume_mechanism,volume_change,log_mkt_cap,0.01182747242186,0.0381528890782202,0.3100020131532284,0.756559425448612
US,effective,volume_mechanism,volume_change,pre_event_return,-0.5041571429623377,0.1820833624577038,-2.768825971562604,0.0056258676517746
US,effective,volatility_mechanism,volatility_change,const,-0.0279560677398678,0.0274241908424557,-1.019394442682652,0.3080157434189495
US,effective,volatility_mechanism,volatility_change,treatment_group,0.0003347297827232,0.0011795687283373,0.2837730220222882,0.7765843302889361
US,effective,volatility_mechanism,volatility_change,log_mkt_cap,0.0012030958174519,0.0011834104404449,1.0166344459489385,0.3093273613680284
US,effective,volatility_mechanism,volatility_change,pre_event_return,-0.0207434740049796,0.0060531793002623,-3.4268725534167928,0.0006105755632703
