market,event_phase,inclusion,window,window_slug,n_events,patell_z,patell_p,bmp_t,bmp_p,mean_scar,std_scar
CN,announce,0,"[-1,+1]",m1_p1,137,-3.698403294240401,0.00021695997945513253,-4.287363040195817,3.402896158512619e-05,-0.31597591757591814,0.8626289072248668
CN,announce,1,"[-1,+1]",m1_p1,137,7.202833722493056,5.897387441751774e-13,5.958682840394122,2.063983345942228e-08,0.6153796148072466,1.2087962919698951
CN,effective,0,"[-1,+1]",m1_p1,137,-0.8212024751301512,0.41153094692189884,-0.5787092451944872,0.5637425535198335,-0.07016006231634027,1.4190242888795896
CN,effective,1,"[-1,+1]",m1_p1,137,0.6357860728321227,0.5249158661979358,0.5299723361198472,0.5969952793004479,0.05431886999937904,1.1996589812347243
US,announce,0,"[-1,+1]",m1_p1,114,1.447926276935127,0.14763766985490104,1.1568565421747765,0.24977070046436103,0.13561072071937466,1.2516040011436234
US,announce,1,"[-1,+1]",m1_p1,247,10.49133423090448,9.468181537266519e-26,3.476265752331202,0.0006009196534811818,0.6675476114410721,3.0179896988223462
US,effective,0,"[-1,+1]",m1_p1,116,-5.623342954117822,1.872970373512328e-08,-1.0443636407346437,0.2985075162363426,-0.5221142857752253,5.384468335341659
US,effective,1,"[-1,+1]",m1_p1,253,-3.8398400225057796,0.00012311450882058453,-1.032487707043757,0.3028335671758739,-0.24140867387049253,3.719017666079627
CN,announce,0,"[-3,+3]",m3_p3,137,-3.4165406131747043,0.0006342220292599964,-4.129853095891296,6.302210675354445e-05,-0.29189476357661265,0.8272789694562619
CN,announce,1,"[-3,+3]",m3_p3,137,4.0299431328525595,5.579034824643667e-05,3.9253934483159494,0.00013695859717849116,0.34430127757156587,1.0266341924480116
CN,effective,0,"[-3,+3]",m3_p3,137,1.0340523684198426,0.30111168198857396,0.6983799044235144,0.4861320931676179,0.08834505594396458,1.480644505762824
CN,effective,1,"[-3,+3]",m3_p3,137,-1.7222698664956717,0.08502064370709954,-1.6430243811712246,0.10268793867803583,-0.1471434449095401,1.0482314725408748
US,announce,0,"[-3,+3]",m3_p3,114,-0.3531397210852739,0.723983695656149,-0.3307789306535215,0.7414240324462931,-0.033074565227438436,1.0676004072797933
US,announce,1,"[-3,+3]",m3_p3,247,6.08103444537788,1.19409634359987e-09,2.169231344683254,0.03102323523313441,0.3869269560724805,2.803313007753822
US,effective,0,"[-3,+3]",m3_p3,116,0.20806422777865513,0.8351788179924537,0.10116516023234871,0.9195955230298489,0.019318278569952253,2.0566786757495215
US,effective,1,"[-3,+3]",m3_p3,253,-1.4517910596372194,0.14655971055914482,-0.8809578754792453,0.3791800439952865,-0.09127332190661096,1.6479687622378518
CN,announce,0,"[-5,+5]",m5_p5,137,-3.3724833614145893,0.0007449358727572405,-3.2519771500044405,0.0014452132040337605,-0.28813069853469175,1.037056290942876
CN,announce,1,"[-5,+5]",m5_p5,137,5.872194555236394,4.300636013486347e-09,5.1853499446350115,7.639506410110843e-07,0.5016954385868883,1.1324586803079746
CN,effective,0,"[-5,+5]",m5_p5,137,0.021891277872607584,0.9825346823586851,0.017325018396324138,0.986202717634916,0.0018702980887667776,1.2635644806733524
CN,effective,1,"[-5,+5]",m5_p5,137,0.29241223436717007,0.7699714551372009,0.2806180688718949,0.7794297871483925,0.024982463164165997,1.0420292447406847
US,announce,0,"[-5,+5]",m5_p5,114,-0.0847212578079943,0.9324829954392351,-0.08222474002962071,0.9346134706120347,-0.007934872800232229,1.0303621243128802
US,announce,1,"[-5,+5]",m5_p5,247,2.5406192793188582,0.011065634160683617,1.7854742116229676,0.07541631078783874,0.1616557335953091,1.4229380983382984
US,effective,0,"[-5,+5]",m5_p5,116,-1.2880040550705634,0.19774455161280347,-0.5440071934563171,0.5874896875395749,-0.11958817428987119,2.3676232052876114
US,effective,1,"[-5,+5]",m5_p5,253,-3.096355875954495,0.0019591507536519687,-1.6501535625317527,0.10015733136102882,-0.19466622605737915,1.8764046851517882
