outcome,bandwidth,n_obs,n_left,n_right,tau,std_error,t_stat,p_value,r_squared,intercept,running_slope,interaction_slope
car_m1_p1,0.060000000000002274,120,42,78,0.039187962856625624,0.01984866116638781,1.9743378421405795,0.0483433406989583,0.037803984200875385,-0.01581380177656924,-0.7277924056164767,0.5104432832806027
car_m3_p3,0.060000000000002274,120,42,78,0.03346775954650057,0.02376302446131176,1.4083964606857577,0.1590137066745384,0.03294125101948586,-0.03243275411902574,-1.077350746192301,1.1476428475292226
turnover_change,0.060000000000002274,118,42,76,0.002156685592058038,0.001153989055996604,1.8688960530873395,0.061637277552724246,0.059996811766407254,-0.0008323088528571195,-0.02495829169507001,0.03030933034026144
volume_change,0.060000000000002274,118,42,76,0.31846993554243364,0.15186200343325568,2.0971008438091836,0.03598464931612641,0.0801424576786659,-0.046442167001069234,-1.8166836303578797,-0.03296899607039977
